#{"t_start": 1700215044.6995835, "env_id": "None"}
r,l,t
0.81124,53,2.836893
0.81124,53,2.837003
0.81124,53,2.837039
0.81124,53,2.837072
0.81124,53,2.837105
0.81124,53,2.837137
0.81124,53,2.83717
0.81124,53,2.837202
0.76048,68,3.432033
0.76048,68,3.432137
0.76048,68,3.432173
0.76048,68,3.432207
0.76048,68,3.43224
0.76048,68,3.432272
0.76048,68,3.432304
0.76048,68,3.432335
0.75776,69,4.093414
0.75776,69,4.093516
0.75776,69,4.093552
0.75776,69,4.093585
0.75776,69,4.093618
0.75776,69,4.09365
0.75776,69,4.093682
0.75776,69,4.093713
0.76096,68,4.731809
0.76096,68,4.731913
0.76096,68,4.73195
0.76096,68,4.731982
0.76096,68,4.732014
0.76096,68,4.732046
0.76096,68,4.732078
0.76096,68,4.73211
0.83252,47,5.648766
0.8192,51,5.709575
0.7984,57,5.806101
0.78232,62,5.877122
0.7788,63,5.897394
0.76884,66,5.952311
0.75888,69,5.99508
0.75492,70,6.014025
0.79748,57,6.558428
0.79816,57,6.630742
0.7746,64,6.844918
0.78096,62,6.911176
0.77412,64,6.925081
0.79472,58,6.944608
0.77,65,7.014844
0.77104,65,7.073672
0.85148,41,7.257147
0.84736,42,7.329196
0.88816,30,7.344768
0.8584,39,7.687945
0.84116,44,7.701918
0.84796,42,7.801624
0.79516,58,7.917478
0.78768,60,7.936902
0.76844,66,8.391737
0.77464,64,8.444842
0.7418,74,8.624735
0.78888,60,8.712045
0.78876,60,8.730958
0.76844,66,8.923394
0.74136,74,26.358394
0.73204,77,26.426587
0.78432,61,26.576819
0.73724,75,26.904547
0.8154,52,27.007035
0.74744,72,27.038586
0.7614,68,27.081106
0.73092,77,27.203366
0.81756,51,27.45507
0.76452,67,27.494498
0.7482,72,27.635242
0.82828,48,27.769039
0.75728,69,28.022855
0.79148,59,28.022961
0.78488,61,28.022997
0.78088,62,28.188322
0.77468,64,28.534282
0.7352,76,28.694449
0.76576,67,28.733969
0.76188,68,28.888857
0.77172,65,29.094656
0.74128,74,29.234179
0.73456,76,29.271008
0.7448,73,29.39424
0.7914,59,29.674612
0.75784,69,29.674714
0.869,36,29.829368
0.75468,70,29.885789
0.82188,50,29.911325
0.77852,63,29.925076
0.77768,63,30.318642
0.76092,68,31.25668
0.76092,68,31.256787
0.76092,68,31.256824
0.76092,68,31.256857
0.76092,68,31.256908
0.70188,100,31.584634
0.70188,100,31.584748
0.70188,100,31.584785
0.78464,61,49.72979
0.78108,62,49.765974
0.77784,63,49.780262
0.77132,65,49.810977
0.7642,67,49.840279
0.80468,55,50.183471
0.78072,62,50.296665
0.74064,74,50.470539
0.79552,58,50.874972
0.7858,61,50.892851
0.76808,66,50.949688
0.75796,69,50.982265
0.75556,70,50.982371
0.7914,59,51.233245
0.75796,69,51.495098
0.81456,52,51.75058
0.75156,71,51.750685
0.80816,54,51.849765
0.78756,60,51.896024
0.78072,62,52.022249
0.76136,68,52.141408
0.79536,58,52.223831
0.82892,48,52.328893
0.77852,63,52.807911
0.74036,74,52.985768
0.7372,75,53.112854
0.73408,76,53.178721
0.74408,73,53.244961
0.74056,74,53.354409
