#{"t_start": 1707740858.595985, "env_id": "None"}
r,l,t
0.122417584,86,1.88204
0.122417584,86,1.882121
0.122417584,86,1.882134
0.122417584,86,1.882144
0.122417584,86,1.882152
0.122417584,86,1.88216
0.122417584,86,1.882167
0.122417584,86,1.882174
0.122417584,86,2.458778
0.122417584,86,2.458899
0.122417584,86,2.458928
0.122417584,86,2.458955
0.122417584,86,2.458982
0.122417584,86,2.459006
0.122417584,86,2.45903
0.122417584,86,2.459055
0.122417584,86,2.876688
0.122417584,86,2.876749
0.122417584,86,2.87676
0.122417584,86,2.876768
0.122417584,86,2.876775
0.122417584,86,2.876793
0.122417584,86,2.8768
0.122417584,86,2.876807
0.122417584,86,3.264062
0.122417584,86,3.264132
0.122417584,86,3.264143
0.122417584,86,3.264151
0.122417584,86,3.264158
0.122417584,86,3.264165
0.122417584,86,3.264172
0.122417584,86,3.264179
0.16802198,81,4.276239
0.121208794,86,4.315052
0.10835165,87,4.323004
0.11230769,87,4.323068
0.10186813,88,4.332222
0.06989011,91,4.354778
0.07186813,91,4.35483
0.062747255,92,4.362943
0.0989011,88,4.951333
0.06527472,92,5.03549
0.045934066,94,5.03555
0.091648355,89,5.035563
0.056263737,93,5.035572
0.053846154,93,5.03558
0.08032967,90,5.052618
0.044835165,94,5.078386
0.066813186,92,8.59581
0.15989012,82,8.606747
0.116703294,86,8.643147
0.10230769,88,8.664915
0.08120879,90,8.68428
0.09087912,89,8.693795
0.037582416,95,8.72879
0.045934066,94,8.788274
0.18076923,80,9.46523
0.13098902,85,9.515944
0.13131869,85,9.563002
0.16835165,81,9.563057
0.1,88,9.619192
0.1589011,82,9.629307
0.11274725,87,9.637309
0.15021978,83,9.687698
0.10197802,88,10.275608
0.19857143,78,10.310687
0.17934066,80,10.31789
0.18846154,79,10.326907
0.055384614,93,10.345075
0.07230769,91,10.366917
0.06428572,92,10.37417
0.046043955,94,10.472023
0.11098901,87,11.511305
0.11098901,87,11.51136
0.11098901,87,11.511371
0.11098901,87,11.511379
0.11098901,87,11.511387
0.11098901,87,11.511393
0.11098901,87,11.5114
0.11098901,87,11.511407
0.24758242,73,15.340806
0.19725275,78,15.388294
0.12032967,86,15.481222
0.100989014,88,15.501964
0.082967035,90,15.523209
0.084725276,90,15.523276
0.07010989,91,15.531427
0.052197803,93,15.548838
0.08087912,90,16.318814
0.08560439,90,16.35666
0.16043957,82,16.387486
0.12978022,85,16.395522
0.15956044,82,16.410233
0.0610989,92,16.432652
0.10175824,88,16.432706
0.10032967,88,16.439835
0.063846156,92,17.006823
0.12989011,85,17.030279
0.17923076,80,17.030347
0.17615385,80,17.030358
0.07054945,91,17.037635
0.09,89,17.051908
0.13120879,85,17.074058
0.08208791,90,17.08096
0.13912088,84,20.357717
0.10945055,87,20.357774
0.11186813,87,20.38338
