#{"t_start": 1707741403.8142521, "env_id": "None"}
r,l,t
0.07054945,91,3.160351
0.07054945,91,3.160432
0.07054945,91,3.160446
0.07054945,91,3.160454
0.07054945,91,3.160462
0.07054945,91,3.160472
0.07054945,91,3.160484
0.07054945,91,3.160491
0.07054945,91,4.229153
0.07054945,91,4.229211
0.07054945,91,4.229222
0.07054945,91,4.22923
0.07054945,91,4.229238
0.07054945,91,4.229245
0.07054945,91,4.229252
0.07054945,91,4.229258
0.07054945,91,5.584065
0.07054945,91,5.584135
0.07054945,91,5.584151
0.07054945,91,5.584159
0.07054945,91,5.584168
0.07054945,91,5.584175
0.07054945,91,5.584182
0.07054945,91,5.584188
0.07054945,91,7.004932
0.07054945,91,7.004999
0.07054945,91,7.005011
0.07054945,91,7.005021
0.07054945,91,7.00503
0.07054945,91,7.005039
0.07054945,91,7.005046
0.07054945,91,7.005053
0.18010989,80,8.507948
0.1478022,83,8.543806
0.121208794,86,8.582612
0.111428574,87,8.596123
0.10032967,88,8.60929
0.09912088,88,8.609342
0.08703297,89,8.62366
0.07351648,91,8.671097
0.10131868,88,9.633213
0.14824176,83,9.657658
0.12945054,85,9.669144
0.06318682,92,9.711898
0.113736264,87,9.724563
0.13417582,85,9.72463
0.07175824,91,9.754617
0.074285716,91,9.754679
0.11868132,86,33.655245
0.092197806,89,33.655344
0.06318682,92,33.709863
0.103296705,88,33.722456
0.08252747,90,33.755717
0.095714286,89,33.777831
0.046703298,94,33.801379
0.06406593,92,33.8141
0.122417584,86,34.64362
0.07956044,90,34.689683
0.08274725,90,34.756042
0.076703295,91,34.7561
0.09065934,89,34.825571
0.063956045,92,34.836886
0.026813187,96,34.864437
0.064505495,92,34.8807
0.13032967,85,35.879125
0.083076924,90,35.892895
0.11868132,86,35.974317
0.09,89,36.021064
0.15362637,83,36.069497
0.07131868,91,36.137612
0.043296702,94,36.199531
0.064615384,92,36.213585
0.1398901,84,38.235315
0.1398901,84,38.235374
0.1398901,84,38.235386
0.1398901,84,38.235394
0.1398901,84,38.235402
0.1398901,84,38.235409
0.1398901,84,38.235416
0.1398901,84,38.235422
0.20703296,77,61.510835
0.13021979,85,61.598738
0.12010989,86,61.610516
0.10065934,88,61.633345
