#{"t_start": 1709031317.579892, "env_id": "None"}
r,l,t
0.027814684,385,10.388266
0.027814684,385,10.388343
0.027814684,385,10.388355
0.027814684,385,10.388363
0.027814684,385,10.388371
0.027814684,385,10.388378
0.027814684,385,10.388384
0.027814684,385,10.388391
0.028723776,385,14.035605
0.028723776,385,14.035788
0.028723776,385,14.035813
0.028723776,385,14.035824
0.028723776,385,14.035832
0.028723776,385,14.03584
0.028723776,385,14.035848
0.028723776,385,14.035855
0.027814684,385,17.652166
0.027814684,385,17.652226
0.027814684,385,17.652237
0.027814684,385,17.652245
0.027814684,385,17.652253
0.027814684,385,17.652259
0.027814684,385,17.652269
0.027814684,385,17.652275
0.027814684,385,21.253488
0.027814684,385,21.253963
0.027814684,385,21.253983
0.027814684,385,21.253992
0.027814684,385,21.253999
0.027814684,385,21.254007
0.027814684,385,21.254014
0.027814684,385,21.25402
0.09145105,359,39.83651
0.06573427,370,40.024141
0.058269233,373,40.078137
0.04082168,380,40.198532
0.040804196,380,40.198591
0.036625873,382,40.237838
0.03414336,383,40.258715
0.031101398,384,40.28116
0.026643356,386,47.369398
0.026643356,386,47.369967
0.026643356,386,47.369993
0.026643356,386,47.370004
0.026643356,386,47.370013
0.026643356,386,47.370022
0.026643356,386,47.370031
0.026643356,386,47.370039
0.076888114,365,74.165528
0.055524476,374,74.331476
0.053199302,375,74.353933
0.047814686,377,74.391258
0.045034964,378,74.412085
0.043321677,379,74.432593
0.0363986,382,74.490462
0.02624126,386,74.56272
0.055244755,374,81.928878
0.055244755,374,81.929378
0.055244755,374,81.929402
0.055244755,374,81.929415
0.055244755,374,81.929423
0.055244755,374,81.929431
0.055244755,374,81.929441
0.055244755,374,81.929448
0.07940559,364,107.862226
0.0718007,367,107.923821
0.06269231,371,108.013892
0.055087414,374,108.073661
0.053636365,375,108.102587
0.048216783,377,108.150159
0.047727272,377,108.150217
0.045821678,378,108.173649
0.05083916,376,116.507351
0.05083916,376,116.507682
0.05083916,376,116.507698
0.05083916,376,116.507708
0.05083916,376,116.507716
0.05083916,376,116.507723
0.05083916,376,116.50773
0.05083916,376,116.507737
0.06571678,370,141.818963
0.06515734,370,141.819996
0.057447553,373,141.878891
0.057744756,373,141.878956
0.054772727,374,141.898747
0.04784965,377,141.959168
0.038234267,381,142.0276
0.024545455,387,142.131244
0.048566435,377,149.58182
0.048566435,377,149.581884
0.048566435,377,149.581897
0.048566435,377,149.581906
0.048566435,377,149.581914
0.048566435,377,149.581921
0.048566435,377,149.581927
0.048566435,377,149.581934
0.07547203,366,173.935969
0.065017484,370,174.014769
0.0629021,371,174.038812
0.057692308,373,174.080324
0.055506993,374,174.102353
0.043444056,379,174.203776
0.038776223,381,174.249676
0.036048952,382,174.27343
0.055874124,374,181.815718
0.055874124,374,181.817304
0.055874124,374,181.817324
0.055874124,374,181.817335
0.055874124,374,181.817343
0.055874124,374,181.81735
0.055874124,374,181.817358
0.055874124,374,181.817366
0.10452797,354,205.994003
0.08508741,362,206.1431
0.07013986,368,206.260245
0.04583916,378,206.44433
0.043601397,379,206.463281
0.04097902,380,206.486069
0.036101397,382,206.527949
0.03354895,383,206.553682
0.06589161,370,214.636842
0.06589161,370,214.637296
0.06589161,370,214.637309
0.06589161,370,214.637318
0.06589161,370,214.637326
0.06589161,370,214.637333
0.06589161,370,214.637342
0.06589161,370,214.637349
0.07832168,365,239.607718
0.06788462,369,239.697593
0.057727274,373,239.783788
0.05284965,375,239.824047
0.050454546,376,239.849883
0.040751748,380,239.978188
0.04125874,380,239.978236
0.036503498,382,240.029756
0.05582168,374,248.731217
0.05582168,374,248.732515
0.05582168,374,248.732538
0.05582168,374,248.732549
0.05582168,374,248.732558
0.05582168,374,248.732567
0.05582168,374,248.732574
0.05582168,374,248.732581
0.08229021,363,274.182137
0.067412585,369,274.317197
0.06076923,372,274.380398
0.052832168,375,274.445708
0.048216783,377,274.488905
0.043234266,379,274.532711
0.0411014,380,274.55796
0.03618881,382,274.604411
0.05347902,375,283.247504
0.05347902,375,283.247862
0.05347902,375,283.247885
0.05347902,375,283.247894
0.05347902,375,283.247903
0.05347902,375,283.247911
0.05347902,375,283.247919
0.05347902,375,283.247927
0.0822028,363,308.833597
0.07215035,367,308.922822
0.060262237,372,309.030082
0.057674825,373,309.054027
0.053741258,375,309.098954
0.04854895,377,309.142278
0.043321677,379,309.188368
0.036573425,382,309.258967
0.06496503,370,317.860352
0.06496503,370,317.860538
0.06496503,370,317.860559
0.06496503,370,317.86057
0.06496503,370,317.860579
0.06496503,370,317.860587
0.06496503,370,317.860594
0.06496503,370,317.860601
0.0725,367,344.055462
0.067657344,369,344.102109
0.06788462,369,344.102162
0.062622376,371,344.146362
0.060437065,372,344.169467
0.053513985,375,344.235171
0.051101398,376,344.260243
0.043304197,379,344.324267
0.08428322,362,352.851993
0.08428322,362,352.853146
0.08428322,362,352.853162
0.08428322,362,352.853173
0.08428322,362,352.853181
0.08428322,362,352.853189
0.08428322,362,352.853205
0.08428322,362,352.853213
0.08715035,361,369.658011
0.081923075,363,369.705071
0.06736014,369,369.830821
0.06339161,371,369.877515
0.061066434,372,369.901789
0.053951047,375,369.969314
0.05057692,376,369.991528
0.050786715,376,369.991588
0.08440559,362,386.880209
0.08440559,362,386.880264
0.08440559,362,386.880275
0.08440559,362,386.880284
0.08440559,362,386.880291
0.08440559,362,386.880297
0.08440559,362,386.880304
0.08440559,362,386.88031
0.08215035,363,403.287903
0.08055944,364,403.316055
0.07501748,366,403.358526
0.07451049,366,403.358588
0.07265734,367,403.378471
0.07246503,367,403.378532
0.06270979,371,403.474163
0.055996504,374,403.54229
0.07758741,365,420.391795
0.07758741,365,420.392767
0.07758741,365,420.392783
0.07758741,365,420.392793
0.07758741,365,420.392804
0.07758741,365,420.392812
0.07758741,365,420.39282
0.07758741,365,420.392826
0.11125874,351,436.522863
0.09951049,356,436.635595
0.08248252,363,436.79581
0.072762236,367,436.880173
0.072517484,367,436.880241
0.060437065,372,436.996678
0.055734266,374,437.047614
0.05333916,375,437.07197
0.08493007,362,454.248356
0.08493007,362,454.249246
0.08493007,362,454.249266
0.08493007,362,454.249279
0.08493007,362,454.249287
0.08493007,362,454.249294
0.08493007,362,454.249301
0.08493007,362,454.249308
0.109143354,352,470.557259
0.09445804,358,470.680511
0.082237765,363,470.790036
0.08263986,363,470.790096
0.070297204,368,470.897817
0.07024475,368,470.897882
0.06762238,369,470.922498
0.067727275,369,470.922534
0.09694056,357,488.314284
0.09694056,357,488.314568
0.09694056,357,488.31459
0.09694056,357,488.314601
0.09694056,357,488.314609
0.09694056,357,488.314616
0.09694056,357,488.314623
0.09694056,357,488.31463
0.11690559,349,504.496664
0.104265735,354,504.614946
0.10424825,354,504.615008
0.08956294,360,504.746527
0.084807694,362,504.796409
0.07234266,367,504.910207
0.06788462,369,504.957414
0.058426574,373,505.041645
0.09937063,356,522.174099
0.09937063,356,522.175159
0.09937063,356,522.175176
0.09937063,356,522.175186
0.09937063,356,522.175194
0.09937063,356,522.175201
0.09937063,356,522.175207
0.09937063,356,522.175215
0.12648602,345,538.205001
0.106660835,353,538.376081
0.0877972,361,538.551414
0.0822028,363,538.597742
0.08248252,363,538.597788
0.080192305,364,538.628128
0.07973776,364,538.628206
0.077972025,365,538.652592
0.10173077,355,556.031094
0.10173077,355,556.031282
0.10173077,355,556.031295
0.10173077,355,556.031304
0.10173077,355,556.031312
0.10173077,355,556.031319
0.10173077,355,556.031326
0.10173077,355,556.031332
0.119108394,348,572.492359
0.11683566,349,572.51443
0.096853144,357,572.680684
0.09466783,358,572.705135
0.08534965,362,572.795602
0.08006993,364,572.839229
0.07973776,364,572.839299
0.07288461,367,572.914497
0.11428322,350,590.414095
0.11428322,350,590.415052
0.11428322,350,590.415074
0.11428322,350,590.415086
0.11428322,350,590.4151
0.11428322,350,590.415131
0.11428322,350,590.415138
0.11428322,350,590.415145
0.12924825,344,606.284762
0.1193007,348,606.357974
0.11405595,350,606.395852
0.10695804,353,606.455512
0.10479021,354,606.47652
0.09944056,356,606.516781
0.09208042,359,606.575645
0.09244755,359,606.575701
0.14356643,338,623.538003
0.14356643,338,623.53932
0.14356643,338,623.539345
0.14356643,338,623.539356
0.14356643,338,623.539368
0.14356643,338,623.539376
0.14356643,338,623.539383
0.14356643,338,623.539389
0.14111888,339,639.911518
0.12870629,344,640.022598
0.11188811,351,640.16568
0.111853145,351,640.165737
0.10928322,352,640.192381
0.10701049,353,640.216566
0.10398602,354,640.239697
0.10398602,354,640.239755
0.1361888,341,657.543638
0.1361888,341,657.544673
0.1361888,341,657.544693
0.1361888,341,657.544703
0.1361888,341,657.544711
0.1361888,341,657.544719
0.1361888,341,657.544725
0.1361888,341,657.544732
0.13382867,342,673.610977
0.116468534,349,673.762255
0.11659091,349,673.762314
0.1044056,354,673.864839
0.10199301,355,673.888426
0.10258741,355,673.888488
0.095192306,358,673.956671
0.09194056,359,673.982648
0.1483916,336,691.079015
0.1483916,336,691.079382
0.1483916,336,691.079395
0.1483916,336,691.079404
0.1483916,336,691.079411
0.1483916,336,691.079418
0.1483916,336,691.079424
0.1483916,336,691.079431
0.13374126,342,706.908925
0.12910838,344,706.947448
0.11715035,349,707.053805
0.113828674,350,707.077658
0.11417832,350,707.077707
0.11194056,351,707.101784
0.10713287,353,707.142381
0.097657345,357,707.227451
0.15594405,333,723.706442
0.15594405,333,723.707044
0.15594405,333,723.707073
0.15594405,333,723.707085
0.15594405,333,723.707094
0.15594405,333,723.707102
0.15594405,333,723.707109
0.15594405,333,723.707116
0.1387937,340,739.462688
0.13625874,341,739.489159
0.12368881,346,739.596776
0.11395105,350,739.683836
0.1122028,351,739.70981
0.1041958,354,739.767651
0.1043007,354,739.767711
0.10291958,355,739.79367
0.15597902,333,748.198879
0.15597902,333,748.198948
0.15597902,333,748.19896
0.15597902,333,748.198968
