#{"t_start": 1707740198.078662, "env_id": "None"}
r,l,t
0.16077922,40,1.530181
0.16077922,40,1.530272
0.16077922,40,1.530284
0.16077922,40,1.530293
0.16077922,40,1.5303
0.16077922,40,1.530308
0.16077922,40,1.530315
0.16077922,40,1.530321
0.16077922,40,1.778998
0.16077922,40,1.779051
0.16077922,40,1.779066
0.16077922,40,1.779084
0.16077922,40,1.779091
0.16077922,40,1.779102
0.16077922,40,1.779108
0.16077922,40,1.779114
0.16077922,40,2.030408
0.16077922,40,2.030467
0.16077922,40,2.030478
0.16077922,40,2.030487
0.16077922,40,2.030494
0.16077922,40,2.030504
0.16077922,40,2.030511
0.16077922,40,2.030518
0.16077922,40,2.284562
0.16077922,40,2.284636
0.16077922,40,2.284654
0.16077922,40,2.284662
0.16077922,40,2.284671
0.16077922,40,2.284678
0.16077922,40,2.284684
0.16077922,40,2.284691
0.3553247,30,2.908561
0.25636363,35,2.966997
0.26077923,35,2.96706
0.20259741,38,2.996222
0.20025975,38,2.996282
0.18025973,39,3.00866
0.13402598,42,3.039675
0.10441559,43,3.049778
0.18311688,39,3.327475
0.37506494,29,3.351415
0.19948052,38,3.373303
0.23844156,36,3.393097
0.10545454,43,3.42577
0.109610386,43,3.459033
0.09922078,44,3.469212
0.16207792,40,3.479129
0.24051948,36,3.733988
0.18467532,39,3.746134
0.19948052,38,3.779301
0.23974025,36,3.779363
0.2238961,37,3.824765
0.28181818,34,3.82483
0.29766235,33,3.834716
0.21064936,38,3.872452
0.33792207,31,4.059109
0.35662338,30,4.059165
0.21766233,37,4.207757
0.2968831,33,4.220347
0.1290909,42,4.220413
0.10519481,43,4.230358
0.16051948,40,4.252291
0.12935065,42,4.264499
0.35636362,30,4.372979
0.29714286,33,4.403909
0.33948052,31,4.555478
0.29844156,33,4.609493
0.2574026,35,4.619326
0.17792208,39,4.619388
0.1625974,40,4.640561
0.14155844,41,4.650632
0.13532467,42,4.820643
0.16467533,40,4.830528
0.33766234,31,4.94768
0.21948051,37,4.94774
0.23792207,36,4.991776
0.29662338,33,4.991833
0.12857144,42,5.065455
0.12623377,42,5.09948
0.22,37,5.212621
0.16675325,40,5.255234
0.29792207,33,8.336025
0.19974026,38,8.346327
0.12701298,42,8.391526
0.20233767,38,8.39159
0.34077922,31,8.418634
0.2212987,37,8.449327
0.1787013,39,8.630251
0.22207792,37,8.65111
0.33766234,31,8.671115
0.33584416,31,8.682679
0.2644156,35,8.761463
0.26025975,35,8.761515
0.23922078,36,8.802544
0.14597403,41,8.883159
0.27844155,34,8.970828
0.27792206,34,9.012416
0.23792207,36,9.043649
0.1825974,39,9.043707
0.32025975,32,9.086745
0.21974026,37,9.177726
0.14051948,41,9.177784
0.12571429,42,9.356779
0.37662336,29,9.406961
0.22103897,37,9.421287
0.3587013,30,9.489783
0.22285715,37,9.489882
0.123636365,42,9.583202
0.2581818,35,9.645733
0.15688312,40,9.699847
0.3166234,32,9.750165
0.39636365,28,9.750231
0.31766233,32,9.778563
0.20649351,38,9.887308
0.18597403,39,9.897165
0.27636364,34,10.008411
0.14311688,41,10.029908
0.4935065,23,10.047782
0.21766233,37,10.135158
0.29974025,33,10.148639
0.18441558,39,10.220853
0.20233767,38,10.358088
0.17766234,39,10.375637
0.33714285,31,10.393869
0.24155845,36,10.429928
0.24051948,36,10.450949
0.3361039,31,10.468623
0.32103896,32,10.468676
0.2212987,37,10.586494
0.29714286,33,10.696759
0.33506495,31,10.75486
0.18233766,39,10.776197
0.33688313,31,10.776248
0.29974025,33,10.795349
0.22051948,37,10.795408
0.06961039,45,10.795422
0.33766234,31,10.89887
0.4748052,24,11.556347
0.4748052,24,11.556401
0.4748052,24,11.556412
0.4748052,24,11.55642
0.4748052,24,11.556427
0.4748052,24,11.556434
0.4748052,24,11.55644
0.4748052,24,11.556447
0.3179221,32,14.952191
0.29844156,33,14.963973
0.21636364,37,15.011081
0.22,37,15.011129
0.20077921,38,15.02006
0.20181818,38,15.020115
0.1851948,39,15.030636
0.18025973,39,15.030691
0.3774026,29,15.311945
0.29714286,33,15.312
0.26207793,35,15.383185
0.097402595,44,15.416166
0.20077921,38,15.427576
0.12675324,42,15.472291
0.16077922,40,15.472371
0.123636365,42,15.514347
0.29714286,33,15.785816
0.37636364,29,15.817642
0.19974026,38,15.840541
0.33844155,31,15.902149
0.33402598,31,15.913026
0.16337663,40,15.97219
0.18077922,39,15.982434
0.11012987,43,15.992758
0.3187013,32,16.105565
0.23948053,36,16.228261
0.3553247,30,16.289869
0.45584416,25,16.301121
0.20337662,38,16.301171
0.32415584,32,16.413538
0.107532464,43,16.431791
0.1974026,38,16.46882
0.33792207,31,16.523789
0.3955844,28,16.590835
0.33792207,31,16.634278
0.19922078,38,16.664681
0.1625974,40,16.721784
0.3535065,30,16.764078
0.24285714,36,16.774269
0.24233766,36,16.794907
0.30285713,33,16.918006
0.3374026,31,16.93441
0.1361039,42,16.93446
0.27636364,34,16.990876
0.27688313,34,17.054381
0.2187013,37,17.133508
0.2,38,17.164175
0.108571425,43,17.182314
0.10701299,43,17.337557
0.14077923,41,17.33761
0.2,38,17.367283
0.31506494,32,17.367335
0.0774026,45,17.375336
0.34025973,31,17.496054
0.27974027,34,17.506319
0.147013,41,17.557022
0.27948052,34,20.428061
0.28181818,34,20.428935
0.2955844,33,20.448393
0.24233766,36,20.481059
0.18545455,39,20.526829
0.47454545,24,20.537657
0.39948052,28,20.53771
0.2161039,37,20.608738
0.31714284,32,20.731904
0.3568831,30,20.798256
0.19896103,38,20.79833
0.1509091,41,20.806567
0.18207793,39,20.834523
0.22571428,37,20.855822
0.20103896,38,20.874943
0.2968831,33,20.899052
0.35636362,30,21.060484
0.16181818,40,21.078617
0.39766234,28,21.095501
0.24207792,36,21.120546
0.22207792,37,21.120614
0.23922078,36,21.147003
0.26233765,35,21.198486
0.07064935,45,21.267173
0.35896105,30,21.32945
0.25558442,35,21.406338
0.14675325,41,21.442041
0.18415585,39,21.466465
0.18051948,39,21.494825
0.083636366,44,21.533672
0.14311688,41,21.594563
0.23974025,36,21.6122
0.27948052,34,21.675369
0.29636362,33,21.778737
0.41428572,27,21.786941
0.24233766,36,21.843959
0.27532467,34,21.880179
0.18415585,39,21.944748
0.26025975,35,21.962791
0.2387013,36,21.989786
0.16441558,40,22.067532
0.14597403,41,22.144764
0.14077923,41,22.152907
0.22415584,37,22.169617
0.2212987,37,22.204063
0.33584416,31,22.297988
0.26,35,22.30932
0.18,39,22.341985
0.26207793,35,22.473146
0.25558442,35,22.570152
0.47298703,24,22.950962
0.47298703,24,22.951036
0.47298703,24,22.951048
0.47298703,24,22.951057
0.47298703,24,22.951065
0.47298703,24,22.951073
0.47298703,24,22.951081
0.47298703,24,22.951088
0.47532466,24,23.162367
0.35636362,30,25.822016
0.35896105,30,25.822077
0.3179221,32,25.844628
0.29896104,33,25.855308
0.27792206,34,25.865976
0.27532467,34,25.866036
0.15896104,40,25.935016
0.3761039,29,26.155824
0.33766234,31,26.185409
0.15844156,40,26.213093
0.2787013,34,26.229701
0.2587013,35,26.257812
0.2051948,38,26.28811
0.27896103,34,26.304499
0.096363634,44,26.334835
0.37584415,29,26.459464
0.2974026,33,26.480733
0.3387013,31,26.513999
0.43376625,26,26.546809
0.31688312,32,26.576327
0.22025974,37,26.59755
0.3961039,28,26.62027
0.22155844,37,26.688902
0.47350648,24,26.835933
0.27662337,34,26.846791
0.16233766,40,26.889449
0.43662336,26,26.900438
0.2774026,34,26.909104
0.16623376,40,26.939191
0.3161039,32,27.026016
0.10441559,43,27.056614
0.3787013,29,27.187419
0.37480518,29,27.239703
0.2225974,37,27.278414
0.27714285,34,27.298828
0.27636364,34,27.31017
0.15506494,41,27.412528
0.41454545,27,27.466422
0.16233766,40,27.485796
0.1425974,41,27.525394
0.39584416,28,27.57043
0.23948053,36,27.615337
0.2774026,34,27.658765
0.39792207,28,27.714689
0.12753247,42,27.757673
0.37714285,29,27.779407
0.18389611,39,27.89894
0.18051948,39,27.939623
0.2438961,36,27.950051
0.21688312,37,28.047779
0.1438961,41,28.047838
0.16103896,40,28.134327
0.2238961,37,28.143966
0.47532466,24,28.154718
0.17896104,39,28.187328
0.27818182,34,28.299387
0.25922078,35,28.319492
0.37532467,29,28.456571
0.35844156,30,28.456618
0.18155845,39,28.456629
0.16103896,40,28.470807
0.35636362,30,28.500457
0.23688312,36,28.509743
0.2594805,35,32.287658
0.16597402,40,32.322784
0.4174026,27,32.354728
0.27506495,34,32.442294
0.24181817,36,32.470169
0.2187013,37,32.498155
0.27688313,34,32.513184
0.12857144,42,32.613533
0.3355844,31,32.709025
0.4335065,26,32.709082
0.22363636,37,32.8163
0.39844155,28,32.839987
0.33376622,31,32.851391
0.35506493,30,32.90855
0.26077923,35,32.959799
0.2574026,35,33.044476
0.3166234,32,33.087436
0.41428572,27,33.126575
0.20467533,38,33.146501
0.3581818,30,33.183787
0.31584415,32,33.194032
0.3194805,32,33.242445
0.27844155,34,33.301467
0.47532466,24,33.367274
0.3587013,30,33.393025
0.18285714,39,33.452952
0.39532468,28,33.483831
0.2968831,33,33.494733
0.33506495,31,33.526799
0.3761039,29,33.560632
0.2651948,35,33.68751
0.4935065,23,33.696343
0.24311689,36,33.760377
0.23584415,36,33.782527
0.25792208,35,33.855784
0.39896104,28,33.855845
0.32181817,32,33.864852
0.14467533,41,33.923651
0.29714286,33,34.028638
0.2587013,35,34.058394
0.3361039,31,34.101745
0.2225974,37,34.136241
0.3774026,29,34.14468
0.33506495,31,34.176309
0.20025975,38,34.24104
0.23818181,36,34.296001
0.47766232,24,34.349793
0.31558442,32,34.360734
0.24077922,36,34.435447
0.3761039,29,34.457342
0.35584417,30,34.457399
0.49610388,23,34.49025
0.33402598,31,34.509845
0.63272727,16,34.95577
0.63272727,16,34.955822
0.63272727,16,34.955834
0.63272727,16,34.955844
0.63272727,16,34.955852
0.63272727,16,34.95586
0.63272727,16,34.955867
0.63272727,16,34.955874
0.3948052,28,35.464359
0.39714286,28,35.464422
0.37376624,29,35.474919
0.29922077,33,35.517616
0.27766234,34,35.529643
0.19766234,38,39.26373
0.18181819,39,39.276996
0.17974027,39,39.277056
0.33584416,31,39.534933
0.41636363,27,39.534986
0.29922077,33,39.548551
0.39454547,28,39.56459
0.22103897,37,39.604999
0.31922078,32,39.672271
0.25896105,35,39.691537
0.18051948,39,39.737684
0.3942857,28,39.860098
0.35844156,30,39.881636
0.4942857,23,39.920186
0.21532467,37,39.960093
0.2955844,33,39.960149
0.23896104,36,39.96016
0.312987,32,40.07979
0.22519481,37,40.079854
0.2812987,34,40.205835
0.3587013,30,40.225142
0.27896103,34,40.225197
0.31844157,32,40.291564
0.31428573,32,40.291623
0.25974026,35,40.319511
0.37454545,29,40.382784
0.25298703,35,40.447219
0.33688313,31,40.534112
0.37480518,29,40.534167
0.2574026,35,40.599636
0.37584415,29,40.599694
0.3387013,31,40.621751
0.31636363,32,40.664165
0.4148052,27,40.674724
0.5132468,22,40.771914
0.3187013,32,40.792374
0.3392208,31,40.867168
0.43584415,26,40.877342
0.37584415,29,40.924925
0.41636363,27,40.945909
0.27636364,34,40.956795
0.21740259,37,41.068771
0.26363635,35,41.147657
0.24181817,36,41.1789
0.29766235,33,41.222171
0.27454546,34,41.244627
0.31714284,32,41.275794
0.36155844,30,41.275851
0.31584415,32,41.308244
0.35792208,30,41.399514
0.29844156,33,41.538839
0.31558442,32,41.569452
0.41454545,27,41.580282
0.4542857,25,41.597892
0.35506493,30,41.59797
0.47298703,24,41.733569
0.27636364,34,41.753925
0.20103896,38,41.765998
0.47402596,24,41.900297
0.43480518,26,41.924892
0.37454545,29,41.965467
0.29922077,33,41.986294
0.25714287,35,42.02927
0.31766233,32,42.131542
0.31428573,32,42.161627
0.2792208,34,45.458826
0.31454545,32,45.554452
0.41454545,27,45.55451
0.33636364,31,45.563166
0.33662337,31,45.587095
0.33376622,31,45.636998
0.49376625,23,45.648992
0.45454547,25,45.693723
0.45454547,25,45.816436
0.2594805,35,45.826486
0.4774026,24,45.835202
0.43844154,26,45.835252
0.4161039,27,45.919407
0.24181817,36,45.928493
0.43454546,26,45.960146
0.27532467,34,46.006966
0.4561039,25,46.085931
0.45324674,25,46.108919
0.3774026,29,46.141647
0.5724675,19,46.176671
0.2968831,33,46.199228
0.3948052,28,46.229989
0.39896104,28,46.242
0.3961039,28,46.311622
0.35714287,30,46.408037
0.37324676,29,46.450483
0.41558442,27,46.479592
0.25844157,35,46.479654
0.35584417,30,46.49058
0.49506494,23,46.563599
0.28103897,34,46.608089
0.2438961,36,46.645089
0.5335065,21,46.729767
0.45506492,25,46.741088
0.39584416,28,46.804273
0.26233765,35,46.804324
0.33896104,31,46.846795
0.4555844,25,46.846848
0.43532467,26,46.891718
0.45324674,25,46.997903
0.4168831,27,47.008346
0.20155844,38,47.041828
0.37428573,29,47.109472
0.43662336,26,47.120184
0.43532467,26,47.120234
0.33532467,31,47.131508
0.3568831,30,47.203331
0.43402597,26,47.265582
0.5124675,22,47.265632
0.43532467,26,47.27653
0.43376625,26,47.401508
0.3987013,28,47.412458
0.39688313,28,47.423934
0.3374026,31,47.480751
0.3405195,31,47.55679
0.4542857,25,47.569231
0.45792207,25,47.583695
0.43506494,26,47.583803
0.69194806,13,48.163718
0.69194806,13,48.163778
0.69194806,13,48.16379
0.69194806,13,48.163799
0.69194806,13,48.163806
0.69194806,13,48.163813
0.69194806,13,48.163819
0.69194806,13,48.163825
0.5166234,22,48.571732
0.47428572,24,48.595703
0.45636365,25,48.6053
0.4361039,26,48.621397
0.35766235,30,48.671476
0.34077922,31,48.686346
0.3025974,33,48.709055
0.24155845,36,48.745836
0.4135065,27,51.94951
0.39454547,28,51.987487
0.39584416,28,51.999352
0.4161039,27,52.048166
0.4561039,25,52.048218
0.3561039,30,52.071607
0.43584415,26,52.094795
0.22103897,37,52.106928
0.5124675,22,52.225499
0.41428572,27,52.235364
0.3194805,32,52.305227
0.43402597,26,52.322145
0.3555844,30,52.346661
0.4392208,26,52.346714
0.25714287,35,52.403689
0.59272724,18,52.403742
0.5935065,18,52.415578
0.22155844,37,52.47718
0.51454544,22,52.588123
0.3948052,28,52.62155
0.35714287,30,52.69178
0.45662338,25,52.691909
0.45532468,25,52.708483
0.25896105,35,52.732679
0.3387013,31,52.774077
0.43324676,26,52.800344
0.53246754,21,52.858703
0.4935065,23,52.977261
0.432987,26,53.02
0.3187013,32,53.020057
0.5527273,20,53.020068
0.39402598,28,53.056803
0.35766235,30,53.110536
0.4153247,27,53.133004
0.47298703,24,53.156555
0.45324674,25,53.332934
0.55376625,20,53.384962
0.37688312,29,53.385073
0.37636364,29,53.385102
0.3735065,29,53.42318
0.22363636,37,53.448
0.41896105,27,53.502459
0.2948052,33,53.526656
0.5163636,22,53.672557
0.49506494,23,53.725079
0.49714285,23,53.748032
0.3955844,28,53.748139
0.2968831,33,53.763776
0.33844155,31,53.792452
0.38207793,29,53.876772
0.31506494,32,53.943158
0.5137662,22,54.028203
0.43246752,26,54.072393
0.31558442,32,54.072513
0.33584416,31,54.114632
0.4342857,26,54.114784
0.43454546,26,54.204853
0.23662338,36,54.21898
0.5374026,21,54.381981
0.23766233,36,54.400031
0.32155845,32,54.445779
0.39636365,28,54.445986
0.34077922,31,54.486845
0.39688313,28,54.486906
0.39662337,28,54.583575
0.3553247,30,54.595505
0.49506494,23,54.682874
0.43584415,26,54.730434
0.3942857,28,54.798189
0.3561039,30,54.821943
0.3761039,29,54.851761
0.23948053,36,54.937456
0.35506493,30,54.959062
0.3553247,30,54.971164
0.43662336,26,55.001603
0.43506494,26,55.038375
0.41558442,27,58.036659
0.39766234,28,58.072708
0.53402597,21,58.122733
0.32207793,32,58.146919
0.49558443,23,58.159094
0.39636365,28,58.183604
0.45662338,25,58.21511
0.3761039,29,58.328011
0.4761039,24,58.34069
0.4942857,23,58.41855
0.41454545,27,58.418667
0.5327273,21,58.430401
0.4153247,27,58.498902
0.43506494,26,58.569442
0.3387013,31,58.591972
0.45402598,25,58.682735
0.47922078,24,58.761039
0.4548052,25,58.761096
0.43480518,26,58.772689
0.28025973,34,58.785282
0.41454545,27,58.915177
0.31636363,32,58.915239
0.49402598,23,58.974264
0.29818183,33,59.034676
0.5137662,22,59.046767
0.43402597,26,59.115628
0.43766233,26,59.134887
0.37428573,29,59.146471
0.5735065,19,59.186573
0.47298703,24,59.263226
0.47402596,24,59.312496
0.47298703,24,59.376295
0.55454546,20,59.413894
0.33636364,31,59.459772
0.6142857,17,59.484087
0.4342857,26,59.484208
0.47532466,24,59.510561
0.31584415,32,59.558395
0.3774026,29,59.704829
0.4148052,27,59.738811
0.5742857,19,59.795905
0.45792207,25,59.805725
0.35662338,30,59.805847
0.47532466,24,59.822641
0.3987013,28,59.848606
0.33584416,31,59.85948
0.532987,21,60.009843
0.5548052,20,60.068047
0.5576623,20,60.068111
0.34181818,31,60.097129
0.45662338,25,60.153353
0.45896104,25,60.185778
0.45636365,25,60.208078
0.24571429,36,60.281142
0.37584415,29,60.406676
0.47324675,24,60.406744
0.39506492,28,60.456332
0.43376625,26,60.456399
0.5348052,21,60.468306
0.47246754,24,60.477876
0.5535065,20,60.544879
0.7122078,12,61.0958
0.7122078,12,61.095861
0.7122078,12,61.095872
0.7122078,12,61.095881
0.7122078,12,61.095905
0.7122078,12,61.095912
0.7122078,12,61.095918
0.7122078,12,61.095924
0.5922078,18,61.441739
0.5148052,22,61.494012
0.49584416,23,61.506613
0.49324676,23,61.506677
0.43636364,26,61.535031
0.4161039,27,61.543995
0.39584416,28,61.553509
0.35948053,30,61.573354
0.49584416,23,61.758052
0.43506494,26,61.791571
0.55376625,20,61.802446
0.47454545,24,61.813281
0.4542857,25,61.813328
0.2955844,33,61.813338
0.35402596,30,61.824096
0.3179221,32,61.907393
0.5353247,21,65.307306
0.5535065,20,65.322216
0.41662338,27,65.351448
0.4748052,24,65.382667
0.47584414,24,65.39534
0.4342857,26,65.395402
0.39402598,28,65.426652
0.55454546,20,65.439511
0.4748052,24,65.713715
0.53246754,21,65.713842
0.33714285,31,65.742996
0.3181818,32,65.74311
0.3194805,32,65.783468
0.41662338,27,65.80979
0.29792207,33,65.839384
0.24077922,36,65.86147
0.55324674,20,65.984613
0.53246754,21,66.048495
0.55376625,20,66.090984
0.4153247,27,66.139015
0.3955844,28,66.205297
