#{"t_start": 1701186062.8982642, "env_id": "None"}
r,l,t
0.67708,87,0.577381
0.67708,87,0.577475
0.67708,87,0.577487
0.67708,87,0.577495
0.67708,87,0.577503
0.67708,87,0.57751
0.67708,87,0.577515
0.67708,87,0.57753
0.67708,87,0.744655
0.67708,87,0.744715
0.67708,87,0.744725
0.67708,87,0.744733
0.67708,87,0.744742
0.67708,87,0.744748
0.67708,87,0.744754
0.67708,87,0.744759
0.67708,87,0.980669
0.67708,87,0.980733
0.67708,87,0.980743
0.67708,87,0.980751
0.67708,87,0.980758
0.67708,87,0.980764
0.67708,87,0.98077
0.67708,87,0.980776
0.67708,87,1.169516
0.67708,87,1.169569
0.67708,87,1.169594
0.67708,87,1.169603
0.67708,87,1.169609
0.67708,87,1.169618
0.67708,87,1.169623
0.67708,87,1.169628
0.74836,67,1.776718
0.74064,69,1.784873
0.73024,72,1.796623
0.71952,75,1.812052
0.71564,76,1.815291
0.71136,77,1.819249
0.7024,80,1.830227
0.69096,83,1.841141
0.73028,72,2.024996
0.73688,70,2.034173
0.71632,76,2.067129
0.68796,84,2.067181
0.70864,78,2.07144
0.72296,74,2.071473
0.68184,86,2.094441
0.6982,81,2.102835
0.74108,69,2.248279
0.73448,71,2.265123
0.72988,72,2.308835
0.72392,74,2.317018
0.70912,78,2.33075
0.70248,80,2.334075
0.7158,76,2.349296
0.6982,81,2.374737
0.7018,80,3.3206
0.7162,76,3.323785
0.71876,75,3.35294
0.72276,74,3.358916
0.71304,77,3.378514
0.68796,84,3.403136
0.7032,80,3.403189
0.6878,84,3.439035
0.73444,71,3.527484
0.69504,82,3.562396
0.72344,74,3.573663
0.73768,70,3.588173
0.70928,78,3.591417
0.72304,74,3.62501
0.72356,74,3.625058
0.69456,82,3.681793
0.7122,77,3.757423
0.70544,79,3.790676
0.69868,81,3.806377
0.70196,80,3.818115
0.69812,81,3.825058
0.72412,74,3.837828
0.69104,83,3.863969
0.7198,75,3.896683
0.6878,84,4.429693
0.6878,84,4.42976
0.6878,84,4.429772
0.6878,84,4.42978
0.6878,84,4.42979
0.6878,84,4.429796
0.6878,84,4.429802
0.6878,84,4.429808
0.75908,64,5.506984
0.74084,69,5.518052
