#{"t_start": 1702995928.669458, "env_id": "None"}
r,l,t
0.70612,79,2.457971
0.70612,79,2.458055
0.70612,79,2.458069
0.70612,79,2.458077
0.70612,79,2.458086
0.70612,79,2.458093
0.70612,79,2.458103
0.70612,79,2.45811
0.70612,79,3.103318
0.70612,79,3.103379
0.70612,79,3.10339
0.70612,79,3.103399
0.70612,79,3.103407
0.70612,79,3.103415
0.70612,79,3.103422
0.70612,79,3.10344
0.70612,79,3.772583
0.70612,79,3.772625
0.70612,79,3.772635
0.70612,79,3.772643
0.70612,79,3.772651
0.70612,79,3.772658
0.70612,79,3.772666
0.70612,79,3.772673
0.70612,79,4.476787
0.70612,79,4.476825
0.70612,79,4.476836
0.70612,79,4.476845
0.70612,79,4.476853
0.70612,79,4.47686
0.70612,79,4.476874
0.70612,79,4.476889
0.741,69,6.085831
0.73024,72,6.136057
0.71636,76,6.205936
0.70864,78,6.235786
0.70256,80,6.267354
0.69824,81,6.282268
0.69552,82,6.298257
0.68536,85,6.34443
0.71664,76,7.31493
0.70172,80,7.330396
0.709,78,7.572069
0.7128,77,7.588186
0.71604,76,7.602139
0.70892,78,7.642169
0.69812,81,7.701103
0.6936,82,7.759891
0.71964,75,8.594769
0.72996,72,8.66069
0.68848,84,8.722808
0.7012,80,8.751558
0.69488,82,8.799516
0.68356,85,8.904813
0.71276,77,8.904867
0.68744,84,8.951124
0.7408,69,13.219989
0.74472,68,13.259695
0.7236,74,13.437035
0.7024,80,13.505745
0.7084,78,13.555827
0.69528,82,13.720205
0.70188,80,13.734132
0.69104,83,13.734241
0.71232,77,14.459844
0.68796,84,14.519265
0.71252,77,14.639924
0.71996,75,14.671801
0.70476,79,14.776907
0.73108,72,14.854788
0.71988,75,14.883754
0.70596,79,14.955784
0.70272,80,15.656273
0.70936,78,15.687366
0.70232,80,15.845598
0.73008,72,15.858927
0.70212,80,15.87612
0.7448,68,15.876213
0.71964,75,16.016258
0.71904,75,16.098893
0.76292,63,17.319305
0.76292,63,17.319839
0.76292,63,17.319858
0.76292,63,17.319868
0.76292,63,17.319876
0.76292,63,17.319883
0.76292,63,17.31989
0.76292,63,17.319897
0.73708,70,21.622439
0.73404,71,21.63535
0.7304,72,21.648658
0.71968,75,21.686528
0.71596,76,21.701992
0.70684,79,21.751734
0.70552,79,21.751806
0.70528,79,21.751827
0.73752,70,22.617271
0.74436,68,22.631097
0.70192,80,22.732816
0.7162,76,22.763884
0.72672,73,22.764226
0.69572,82,22.780375
0.71988,75,22.799112
0.69836,81,22.890767
0.76196,63,23.566333
0.76272,63,23.714419
0.6906,83,23.870535
0.7194,75,23.915642
0.71332,77,23.933782
0.713,77,23.966601
0.73072,72,23.980382
0.68468,85,24.047473
0.74432,68,27.712249
0.7156,76,27.999232
0.72612,73,28.115114
0.74512,68,28.1488
0.71996,75,28.210023
0.70804,78,28.239377
0.71236,77,28.264305
0.67424,88,28.48255
0.74828,67,28.749495
0.76264,63,29.063727
0.72336,74,29.092627
0.72728,73,29.182818
0.727,73,29.283203
0.72628,73,29.312858
0.73112,72,29.327405
0.76612,62,29.404466
0.69832,81,30.015825
0.72672,73,30.243042
0.7336,71,30.329692
0.7096,78,30.345258
0.74452,68,30.392293
0.719,75,30.458583
0.72608,73,30.475185
0.72992,72,30.524177
0.77312,60,30.860779
0.75856,64,32.073871
0.75856,64,32.073947
0.75856,64,32.073964
0.75856,64,32.073979
0.75856,64,32.073987
0.75856,64,32.074001
0.75856,64,32.074014
0.75856,64,32.074026
0.73768,70,36.068402
0.7346,71,36.087387
0.73028,72,36.10473
0.71556,76,36.159127
0.71568,76,36.159196
0.71208,77,36.172819
0.70816,78,36.189434
0.7024,80,36.220424
0.75868,64,37.035716
0.74372,68,37.081735
0.74764,67,37.098418
0.75928,64,37.15801
0.73392,71,37.251145
0.7202,75,37.357464
0.71276,77,37.445129
0.69384,82,37.457539
0.75932,64,38.052532
0.72304,74,38.196325
0.69148,83,38.260714
0.70156,80,38.322322
0.73732,70,38.322413
0.75196,66,38.338137
0.70552,79,38.378463
0.71696,76,38.486086
0.75112,66,39.059539
0.7126,77,39.059622
0.74432,68,42.218072
0.73364,71,42.253043
0.72332,74,42.299927
0.72356,74,42.352706
0.6884,84,42.37748
0.69776,81,42.549958
0.73788,70,43.002744
0.72316,74,43.055432
0.7656,62,43.197959
0.72772,73,43.198011
0.72992,72,43.210177
0.71544,76,43.304416
0.71568,76,43.351123
0.69832,81,43.61663
0.69908,81,44.13226
0.70508,79,44.167872
0.73052,72,44.227862
0.7484,67,44.258155
0.71232,77,44.28835
0.74788,67,44.321578
0.69892,81,44.353927
0.73708,70,44.698883
0.76248,63,45.16144
0.76232,63,46.141082
0.76232,63,46.141161
