#{"t_start": 1703074572.419735, "env_id": "None"}
r,l,t
0.93631,77,2.380649
0.93631,77,2.380717
0.93631,77,2.380731
0.93631,77,2.380738
0.93631,77,2.380745
0.93631,77,2.380751
0.93631,77,2.380757
0.93631,77,2.380791
0.93145,83,3.147082
0.93145,83,3.147129
0.93145,83,3.147138
0.93145,83,3.147146
0.93145,83,3.147152
0.93145,83,3.147158
0.93145,83,3.14717
0.93145,83,3.147176
0.93227,82,3.88475
0.93227,82,3.884807
0.93227,82,3.88482
0.93227,82,3.884829
0.93227,82,3.884837
0.93227,82,3.884845
0.93227,82,3.884852
0.93227,82,3.884858
0.93306,81,4.623657
0.93306,81,4.623754
0.93306,81,4.623794
0.93306,81,4.623818
0.93306,81,4.623837
0.93306,81,4.62385
0.93306,81,4.623864
0.93306,81,4.623881
0.93954,73,6.34784
0.93793,75,6.370093
0.93387,80,6.436837
0.93231,82,6.461017
0.9299,85,6.499647
0.92825,87,6.530119
0.92829,87,6.530172
0.92825,87,6.530184
0.93475,79,7.467937
0.93959,73,7.560319
0.93471,79,7.577946
0.92983,85,7.598679
0.93151,83,7.669009
0.9356,78,7.669065
0.93555,78,7.669078
0.93309,81,7.711013
0.93635,77,8.630128
0.93715,76,8.727139
0.93551,78,8.727221
0.93392,80,8.783671
0.93391,80,8.863691
0.93308,81,8.880301
0.93151,83,8.907587
0.92983,85,8.970134
0.92907,86,13.035957
0.93469,79,13.036034
0.93392,80,13.051272
0.93387,80,13.100014
0.93226,82,13.234377
0.92985,85,13.26265
0.93064,84,13.293744
0.92982,85,13.376246
0.92983,85,14.286326
0.92821,87,14.302753
0.92583,90,14.353695
0.9258,90,14.412665
0.93388,80,14.45499
0.92904,86,14.516317
0.92664,89,14.533612
0.93154,83,14.58565
0.93561,78,15.426893
0.9323,82,15.544616
0.93468,79,15.557411
0.9258,90,15.621918
0.93225,82,15.649142
0.93307,81,15.700586
0.93149,83,17.223674
0.93149,83,17.223735
0.92739,88,17.281286
0.92739,88,17.281343
0.92739,88,17.281355
0.92739,88,17.281363
0.92739,88,17.28138
0.92739,88,17.281394
0.93468,79,21.30089
0.93551,78,21.354679
0.93394,80,21.385905
0.93144,83,21.434128
0.9315,83,21.434188
0.92661,89,21.447515
0.92994,85,21.461074
0.92903,86,21.478031
0.93389,80,22.438091
0.93227,82,22.519458
0.93226,82,22.546616
0.93468,79,22.561541
0.93317,81,22.576355
0.93065,84,22.624103
0.92983,85,22.659824
0.92996,85,22.673596
0.93476,79,23.612989
0.92739,88,23.65665
0.93064,84,23.707087
0.92983,85,23.73669
0.92824,87,23.774819
0.92908,86,23.80001
0.93068,84,23.811387
0.92901,86,23.84817
0.9355,78,27.690438
0.93074,84,27.721465
0.92762,88,27.739338
0.93226,82,27.872474
0.92741,88,27.872529
0.93472,79,27.87254
