#{"t_start": 1701184849.130852, "env_id": "None"}
r,l,t
0.69072,83,0.892229
0.69072,83,0.89231
0.69072,83,0.892321
0.69072,83,0.892329
0.69072,83,0.892336
0.69072,83,0.892342
0.69072,83,0.892348
0.69072,83,0.892357
0.69072,83,1.184009
0.69072,83,1.184064
0.69072,83,1.184075
0.69072,83,1.184087
0.69072,83,1.184094
0.69072,83,1.184105
0.69072,83,1.184111
0.69072,83,1.184116
0.69072,83,1.464455
0.69072,83,1.464519
0.69072,83,1.46453
0.69072,83,1.464537
0.69072,83,1.464544
0.69072,83,1.464551
0.69072,83,1.464557
0.69072,83,1.464563
0.69072,83,1.752116
0.69072,83,1.752179
0.69072,83,1.75219
0.69072,83,1.752198
0.69072,83,1.752206
0.69072,83,1.752213
0.69072,83,1.752219
0.69072,83,1.752226
0.7348,71,2.463914
0.72968,72,2.468627
0.72684,73,2.473573
0.71656,76,2.485705
0.70856,78,2.494331
0.7098,78,2.494395
0.70228,80,2.50396
0.68168,86,2.530644
0.71724,76,2.786968
0.70168,80,2.799808
0.68064,86,2.833236
0.69788,81,2.833316
0.68776,84,2.83835
0.69184,83,2.843823
0.68812,84,2.856805
0.69804,81,2.869474
0.7486,67,3.079502
0.6908,83,3.125874
0.72712,73,3.129947
0.70584,79,3.156841
0.70916,78,3.162028
0.69468,82,3.173952
0.70164,80,3.181433
0.70176,80,3.193659
0.7054,79,20.243859
0.75556,65,20.275697
0.7088,78,20.284001
0.70852,78,20.290439
0.7094,78,20.313292
0.6884,84,20.335395
0.70136,80,20.339849
0.70348,80,20.349938
0.74132,69,20.476236
0.72964,72,20.532462
0.70856,78,20.54262
0.73756,70,20.546366
0.69856,81,20.559413
0.73788,70,20.570153
0.68712,84,20.621955
0.69132,83,20.628919
0.69108,83,20.753291
0.71952,75,20.779282
0.7126,77,20.79804
0.70844,78,20.798099
0.7084,78,20.814574
0.69164,83,20.847434
0.74032,69,20.857618
0.68108,86,20.906234
0.7198,75,21.472174
0.7198,75,21.472241
0.7198,75,21.472256
0.7198,75,21.472265
0.7198,75,21.472271
0.7198,75,21.472278
0.7198,75,21.472284
0.7198,75,21.47229
0.74492,68,38.354976
0.74148,69,38.361303
0.72712,73,38.375562
0.71932,75,38.381946
0.72092,75,38.382008
0.70228,80,38.398641
0.68192,86,38.421067
0.65644,93,38.446055
0.73032,72,38.60496
0.731,72,38.609526
0.74456,68,38.617845
0.71244,77,38.6483
0.7032,80,38.652105
0.71664,76,38.663592
0.7262,73,38.67377
0.741,69,38.684705
0.7232,74,38.865516
0.7204,75,38.865571
0.73804,70,38.889092
0.69824,81,38.897763
0.70532,79,38.926003
0.71,78,38.934824
0.69784,81,38.956918
0.68036,86,38.981636
0.72336,74,55.477685
0.70252,80,55.500166
0.72732,73,55.508184
0.70212,80,55.526365
0.71984,75,55.545285
0.71308,77,55.559255
0.71228,77,55.586338
0.69524,82,55.632141
0.70924,78,55.764111
0.7232,74,55.77327
0.71948,75,55.785874
0.72352,74,55.80129
0.73744,70,55.806533
0.71944,75,55.838286
0.68824,84,55.891513
0.70588,79,55.919124
0.76552,62,56.02409
0.71632,76,56.049485
0.7016,80,56.057893
0.71568,76,56.061599
0.72008,75,56.072156
0.73428,71,56.094522
0.71664,76,56.165212
0.705,79,56.204252
0.73056,72,56.774787
0.73056,72,56.774856
0.73056,72,56.774866
0.73056,72,56.774874
0.73056,72,56.77488
0.73056,72,56.774887
0.73056,72,56.774893
0.73056,72,56.774899
0.73368,71,73.685518
0.7336,71,73.685751
0.71704,76,73.704034
0.71236,77,73.708825
0.70568,79,73.718234
0.70496,79,73.718288
0.70592,79,73.7183
0.70592,79,73.718308
0.7338,71,73.920197
0.72272,74,73.929925
0.7272,73,73.94318
0.73064,72,73.95005
0.7198,75,73.953339
0.70188,80,73.975799
0.69796,81,73.979344
0.68744,84,73.989036
0.74136,69,74.18051
0.73752,70,74.190954
0.70604,79,74.200782
0.6912,83,74.207086
0.71184,77,74.223983
0.73364,71,74.243116
0.70312,80,74.261204
0.68012,86,74.276439
0.70544,79,91.156471
0.70932,78,91.156886
0.68464,85,91.156909
0.69184,83,91.161105
0.7088,78,91.187373
0.68828,84,91.191754
0.71276,77,91.204986
0.69148,83,91.241073
0.74804,67,91.39131
0.72684,73,91.408658
0.71184,77,91.422143
0.71248,77,91.422199
0.73044,72,91.440127
0.71948,75,91.462857
0.69852,81,91.468247
0.73012,72,91.495943
0.71556,76,91.652445
0.7242,74,91.678017
0.70636,79,91.682222
0.72312,74,91.698348
