#{"t_start": 1700321741.719446, "env_id": "None"}
r,l,t
0.84868,39,0.522018
0.84868,39,0.522079
0.84868,39,0.522091
0.84868,39,0.522098
0.84868,39,0.522104
0.84868,39,0.522109
0.84868,39,0.522115
0.84868,39,0.52212
0.8098,50,0.695323
0.8098,50,0.69539
0.8098,50,0.6954
0.8098,50,0.695406
0.8098,50,0.695412
0.8098,50,0.695417
0.8098,50,0.695422
0.8098,50,0.695427
0.86692,34,0.792863
0.86692,34,0.79292
0.86692,34,0.792929
0.86692,34,0.792936
0.86692,34,0.792944
0.86692,34,0.79295
0.86692,34,0.792955
0.86692,34,0.79296
0.79836,53,0.948512
0.79836,53,0.948568
0.79836,53,0.948577
0.79836,53,0.948587
0.79836,53,0.948592
0.79836,53,0.948598
0.79836,53,0.948603
0.79836,53,0.948608
0.83404,43,1.61349
0.82688,45,1.621531
0.8234,46,1.626228
0.81308,49,1.642059
0.78036,58,1.677238
0.78052,58,1.677297
0.762,63,1.697162
0.74076,69,1.718953
0.80572,51,1.79888
0.80928,50,1.802419
0.7874,56,1.827964
0.791,55,1.835798
0.8386,42,1.840752
0.80928,50,1.848976
0.81724,48,1.876833
0.7372,70,1.91284
0.78472,57,1.988615
0.78804,56,2.02168
0.77588,59,2.021737
0.7226,74,2.055888
0.74968,67,2.063355
0.76304,63,2.0634
0.80108,52,2.086538
0.73312,71,2.111966
0.83416,43,2.133617
0.84444,40,2.202105
0.7828,57,2.225428
0.78272,57,2.225493
0.80492,51,2.232684
0.77968,58,2.261893
0.83428,43,2.268252
0.74128,69,2.318345
0.77404,60,2.337049
0.73068,72,8.74901
0.74876,67,8.755654
0.72684,73,8.776903
0.7026,80,8.7904
0.73028,72,8.798092
0.69428,82,8.827727
0.71616,76,8.860131
0.72976,72,8.864072
0.78076,58,8.903672
0.74812,67,8.934751
0.77312,60,8.937533
0.78424,57,8.944281
0.72692,73,8.995775
0.74096,69,9.01597
0.78084,58,9.018933
0.771,61,9.029658
0.75404,65,9.080246
0.79736,53,9.086354
0.77608,59,9.094513
0.75456,65,9.111357
0.78316,57,9.141919
0.79788,53,9.152814
0.776,59,9.175478
0.69348,82,9.244303
0.74864,67,9.267645
0.6914,83,9.297996
0.69768,81,9.298052
0.69476,82,9.326305
0.75536,65,9.868205
0.75536,65,9.868272
0.75536,65,9.868283
0.71316,77,9.899021
0.71316,77,9.899072
0.71316,77,9.899083
0.71316,77,9.89909
0.71316,77,9.899097
0.79124,55,16.261245
0.78,58,16.269909
0.73784,70,16.269972
0.73,72,16.275091
0.7698,61,16.277764
0.71944,75,16.283219
0.75552,65,16.289177
0.74488,68,16.29676
0.79524,54,16.418096
0.78744,56,16.431895
0.77028,61,16.440401
0.75184,66,16.447404
0.72648,73,16.464709
0.70228,80,16.474605
0.74044,69,16.480433
0.71256,77,16.494828
0.834,43,16.580684
0.76148,63,16.609066
0.71576,76,16.621555
0.71948,75,16.635582
0.73348,71,16.639099
0.77,61,16.661099
0.734,71,16.669601
0.71276,77,16.690707
0.76544,62,16.747344
0.80048,52,16.750368
0.83152,44,16.756181
0.7866,56,16.785022
0.74056,69,16.808697
0.77188,60,16.826929
0.754,65,16.832962
0.7366,70,23.133656
0.77996,58,23.169165
0.75624,65,23.183929
0.744,68,23.223007
0.69168,83,23.226904
0.7182,75,23.266332
0.70964,78,23.296732
0.685,85,23.309187
0.76912,61,23.340881
0.7056,79,23.340945
0.69444,82,23.385367
0.75856,64,23.395396
0.72324,74,23.418066
0.69824,81,23.478221
0.74024,69,23.491509
0.72336,74,23.491563
0.73776,70,23.526139
0.73716,70,23.526206
0.78052,58,23.547927
0.73068,72,23.576941
0.7658,62,23.586102
0.79124,55,23.626221
0.77248,60,23.652453
0.72308,74,23.691652
0.75492,65,24.169322
0.75492,65,24.169392
0.75492,65,24.169406
0.75492,65,24.169413
0.72208,74,24.194022
0.72208,74,24.194092
0.72208,74,24.194103
0.72208,74,24.194111
0.76172,63,30.658652
0.72068,75,30.703207
0.75152,66,30.703268
0.71184,77,30.710955
0.69524,82,30.729866
0.72232,74,30.734103
0.7068,78,30.749362
0.69036,83,30.768012
0.80636,51,30.89086
0.79596,54,30.929866
0.7004,80,30.948195
0.7958,54,30.956243
0.7254,73,30.96841
0.7042,79,30.981616
0.72692,73,30.999726
0.70004,80,31.005726
0.7924,55,31.105704
0.72276,74,31.111205
0.7992,53,31.129526
0.7812,58,31.132559
0.75148,66,31.143141
0.7018,80,31.157342
0.77736,59,31.167406
0.71584,76,31.210878
0.77724,59,31.274485
0.79084,55,31.299156
0.7374,70,31.302683
0.7128,77,31.346037
0.70508,79,31.353533
0.80256,52,31.357112
0.71968,75,37.379103
0.73416,71,37.380148
0.79948,53,37.43562
0.80944,50,37.451639
0.81268,49,37.502364
0.79468,54,37.509068
0.80288,52,37.515517
0.71924,75,37.5206
0.79812,53,37.529099
0.75612,65,37.563417
0.78024,58,37.60199
0.77692,59,37.621525
0.78768,56,37.681414
0.75892,64,37.687124
0.75132,66,37.699466
0.745,68,37.712717
0.73808,70,37.732148
0.75916,64,37.74877
0.83476,43,37.810247
0.75268,66,37.81031
0.81644,48,37.834656
0.6878,84,37.840118
0.7336,71,37.879754
0.7554,65,37.912192
0.72724,73,37.915552
0.73792,70,37.943227
0.76612,62,37.981103
0.78448,57,37.990769
0.79752,53,38.444856
0.79752,53,38.444929
0.79752,53,38.44494
0.79752,53,38.444947
0.79752,53,38.444954
0.79752,53,38.444964
0.7954,54,38.448926
0.7954,54,38.44898
0.82316,46,44.787982
0.80364,52,44.806934
0.76956,61,44.83875
0.76324,63,44.846642
0.76536,62,44.846696
0.7414,69,44.867668
0.7342,71,44.875604
0.723,74,44.887936
0.838,42,45.02535
0.79544,54,45.057419
0.81976,47,45.084275
0.79804,53,45.1157
0.77784,59,45.135903
0.80916,50,45.144431
0.77028,61,45.170466
0.73996,69,45.205705
0.78424,57,45.299432
0.72576,73,45.307669
0.74848,67,45.311845
0.79444,54,45.320728
0.79068,55,45.358007
0.71896,75,45.457993
0.77328,60,45.475205
0.72544,73,45.49587
0.81244,49,45.557832
0.78052,58,45.607165
0.7338,71,45.652469
0.7134,77,45.663925
0.75936,64,45.66846
0.76944,61,45.735829
0.75532,65,45.740936
0.71996,75,45.800787
0.70244,80,52.011731
0.72996,72,52.030311
0.75576,65,52.054299
0.708,78,52.089247
0.69784,81,52.114184
0.72292,74,52.1566
0.70524,79,52.170774
0.72368,74,52.210305
0.76324,63,52.229806
0.76512,62,52.263818
0.741,69,52.263881
0.79036,55,52.294191
0.70564,79,52.34618
0.80856,50,52.364966
0.76172,63,52.368482
0.716,76,52.397774
0.78012,58,52.442853
0.71908,75,52.471476
0.71184,77,52.509477
0.73276,71,52.524279
0.8196,47,52.552379
0.75844,64,52.556703
0.75112,66,52.583987
0.74004,69,52.595657
0.77328,60,52.665221
0.74104,69,52.672413
0.77744,59,53.130822
0.77744,59,53.131383
0.77744,59,53.131405
0.77744,59,53.131415
0.74052,69,53.157945
0.74052,69,53.158015
0.70936,78,53.188466
0.7022,80,53.196045
0.86016,36,53.317768
0.79936,53,59.371279
0.80948,50,59.387144
0.76616,62,59.395193
0.71268,77,59.408635
0.70928,78,59.41154
0.69564,82,59.423225
0.68164,86,59.433042
0.72352,74,59.553883
0.81,50,59.557277
0.79184,55,59.557319
0.7914,55,59.560141
0.75636,65,59.564289
0.74208,69,59.585225
0.78788,56,59.588245
0.69216,83,59.598835
0.80932,50,59.733082
0.755,65,59.74134
0.77716,59,59.744222
0.7442,68,59.744258
0.73016,72,59.754228
0.72324,74,59.762181
0.70516,79,59.771654
0.7162,76,59.796315
0.72752,73,59.935232
0.75512,65,59.944093
0.7448,68,59.944155
0.713,77,59.956806
0.69156,83,59.970283
0.7592,64,59.970354
0.69132,83,59.973083
0.6842,85,60.005675
0.79876,53,66.15027
0.74884,67,66.179956
0.72688,73,66.184201
0.70924,78,66.191081
0.703,80,66.207023
0.73752,70,66.245284
0.6918,83,66.247878
0.68048,86,66.254798
0.74072,69,66.36104
0.74844,67,66.389079
0.74532,68,66.398886
0.75904,64,66.402255
0.7842,57,66.419838
0.68392,85,66.43851
0.73784,70,66.463441
0.72276,74,66.470285
0.78068,58,66.534245
0.80216,52,66.540973
0.76948,61,66.57469
0.74504,68,66.598415
0.77368,60,66.614617
0.74096,69,66.622046
0.79488,54,66.62525
0.73708,70,66.677496
0.7736,60,67.163262
0.7736,60,67.163323
0.75904,64,67.17571
0.75904,64,67.175763
0.72756,73,67.202767
0.72756,73,67.202827
0.72756,73,67.202838
0.72756,73,67.202847
0.79092,55,67.383413
0.74872,67,67.392231
0.78116,58,67.392291
0.77704,59,67.395513
0.77368,60,67.398744
0.72776,73,67.398794
0.72684,73,73.561827
0.68832,84,73.581532
0.78756,56,73.739623
0.75924,64,73.748037
0.76228,63,73.750689
0.74196,69,73.75491
0.73348,71,73.769734
0.73384,71,73.77489
0.73392,71,73.778199
0.74736,67,73.799832
0.85976,36,73.8718
0.78484,57,73.923115
0.75564,65,73.955366
0.74848,67,73.96472
0.76324,63,73.971191
0.74412,68,73.993118
0.7374,70,73.99622
0.70184,80,74.051946
0.77948,58,74.101144
0.81288,49,74.111977
0.70176,80,74.115975
0.81276,49,74.12043
0.74192,69,74.167318
0.77468,60,74.176615
0.7378,70,74.2096
0.74764,67,74.258642
0.79228,55,74.285054
0.78108,58,74.296427
0.74384,68,74.311124
0.80232,52,74.32604
0.73688,70,74.335368
0.78388,57,74.354368
0.74064,69,80.588117
0.781,58,80.60175
0.8022,52,80.612268
0.75548,65,80.686078
0.77232,60,80.686136
0.73052,72,80.693106
0.76988,61,80.699366
0.7342,71,80.752942
0.77656,59,80.801243
0.72336,74,80.837332
0.74072,69,80.846187
0.76348,63,80.899793
0.76844,61,80.89986
0.737,70,80.918861
0.7156,76,80.937618
0.7808,58,80.94208
0.73284,71,81.032305
0.73356,71,81.070514
0.792,55,81.084294
0.72236,74,81.088769
0.7594,64,81.61013
0.7594,64,81.610203
0.7594,64,81.610214
0.7594,64,81.610226
0.7594,64,81.610236
0.7518,66,81.616569
0.74392,68,81.622129
0.7126,77,81.661627
0.77772,59,81.82488
0.7484,67,81.83755
0.74896,67,81.845417
0.72004,75,81.862345
0.76304,63,81.865168
0.71284,77,88.09784
0.71288,77,88.098061
0.7056,79,88.103841
0.85244,38,88.264095
0.74808,67,88.308855
0.74068,69,88.330245
0.773,60,88.333584
0.73324,71,88.343197
0.752,66,88.346577
0.74508,68,88.356613
0.74068,69,88.3649
0.78324,57,88.51133
0.70196,80,88.544188
0.767,62,88.562804
0.7446,68,88.569798
0.74448,68,88.57334
0.74108,69,88.589314
0.72624,73,88.61703
0.71972,75,88.633725
0.74464,68,88.764609
0.78364,57,88.779791
0.75164,66,88.82086
0.7518,66,88.824838
0.72084,75,88.828373
0.76284,63,88.833569
0.73692,70,88.882027
0.7128,77,88.920347
0.76664,62,88.997632
0.72244,74,89.024329
0.75192,66,95.655961
0.75152,66,95.665679
0.74428,68,95.669289
0.78352,57,95.681059
0.7262,73,95.681124
0.74476,68,95.739013
0.79852,53,95.828523
0.75516,65,95.836446
0.7764,59,95.840665
0.723,74,95.840721
0.78752,56,95.862216
0.75568,65,95.880035
0.74088,69,95.913156
0.75428,65,96.004102
0.76944,61,96.108116
0.772,60,96.117907
0.76944,61,96.117975
0.74948,67,96.152535
0.75952,64,96.194333
0.77672,59,96.204284
0.69828,81,96.231081
0.78384,57,96.250898
0.7636,63,96.921749
0.7636,63,96.92183
0.7636,63,96.921843
0.7636,63,96.921856
0.7636,63,96.921863
0.74468,68,96.941675
0.74464,68,96.941746
0.7126,77,96.98628
0.76688,62,97.206137
0.74132,69,97.215054
0.73048,72,97.229001
0.7236,74,97.238937
0.70908,78,97.257017
0.69812,81,97.267593
0.7018,80,97.279963
0.70836,78,103.662149
0.76912,61,103.815671
0.73396,71,103.839113
0.75452,65,103.842819
0.79004,55,103.846706
0.72328,74,103.861934
0.72652,73,103.884529
0.71304,77,103.887628
0.74436,68,103.90189
0.74832,67,104.047278
0.75164,66,104.072067
0.75116,66,104.079994
0.77964,58,104.103902
0.74492,68,104.1082
0.71484,76,104.112381
0.73812,70,104.161762
0.69484,82,104.182484
0.80784,50,104.219416
0.84068,41,104.245375
0.8194,47,104.271657
0.77996,58,104.27885
0.80108,52,104.284617
0.72696,73,104.318726
0.81292,49,104.325592
0.7554,65,104.391271
0.7954,54,104.391332
0.80932,50,104.40085
0.888,28,104.404157
0.82392,46,104.427426
0.78776,56,104.449026
0.76168,63,104.478618
0.7516,66,104.533997
0.77016,61,111.104406
0.76664,62,111.121728
0.75144,66,111.130566
0.74036,69,111.130624
0.75828,64,111.152252
0.76948,61,111.164643
0.74236,69,111.218405
0.74888,67,111.271317
0.75896,64,111.313147
0.76932,61,111.321135
0.77292,60,111.327348
0.76912,61,111.361524
0.7288,72,111.368676
0.72308,74,111.395995
0.73304,71,111.454107
0.77056,61,111.477988
0.7558,65,111.534839
0.7584,64,111.537664
0.75992,64,111.54384
0.73784,70,112.082389
0.73784,70,112.082472
0.72956,72,112.090466
0.7264,73,112.094891
0.7264,73,112.094955
0.7264,73,112.094966
0.7264,73,112.094974
0.7264,73,112.094981
0.83724,42,112.238272
0.80636,51,112.280214
0.7846,57,112.302985
0.7548,65,112.323041
0.75492,65,112.331532
0.746,68,112.342649
0.72988,72,112.354841
0.85536,37,112.369957
0.69804,81,112.391211
0.76528,62,118.650037
0.79056,55,118.66197
0.7332,71,118.69515
0.79824,53,118.699006
0.74512,68,118.708649
0.72988,72,118.731335
0.7364,70,118.737297
0.7384,70,118.761392
0.80876,50,118.797078
0.82264,46,118.860031
0.7692,61,118.868407
0.71924,75,118.877662
0.80832,50,118.877719
0.7234,74,118.91689
0.78356,57,118.922299
0.69376,82,118.930245
0.73012,72,118.994158
0.73712,70,119.057909
0.75524,65,119.06123
0.71472,76,119.08354
0.73812,70,119.114651
0.6866,84,119.114712
0.72208,74,119.131638
0.72584,73,119.136783
0.73072,72,119.198871
0.7088,78,119.270735
0.7092,78,119.273911
0.72,75,119.289477
0.7524,66,119.295234
0.744,68,119.301761
0.74212,69,125.459578
0.69444,82,125.494253
0.7266,73,125.545965
0.74756,67,125.622072
0.72304,74,125.643549
0.7562,65,125.646823
0.72364,74,125.662293
0.6846,85,125.700612
0.73356,71,125.7277
0.68752,84,125.733344
0.74188,69,125.771495
0.74176,69,125.841622
0.74572,68,125.857497
0.7422,69,125.879762
0.7804,58,125.886678
0.7056,79,125.894549
0.79068,55,125.90801
0.78748,56,126.377425
0.78748,56,126.377496
0.76576,62,126.394802
0.76576,62,126.394866
0.76576,62,126.394877
0.76576,62,126.394885
0.7554,65,126.405669
0.72684,73,126.427963
0.76228,63,126.631239
0.74844,67,126.634804
0.74128,69,126.643018
0.70584,79,126.65826
0.70188,80,126.66328
0.7052,79,126.681116
0.70156,80,126.685752
0.73392,71,126.690787
0.84484,40,126.776515
0.81268,49,132.880854
0.81264,49,132.884894
0.77648,59,132.895404
0.8088,50,132.906015
0.7404,69,132.927608
0.78324,57,132.934291
0.73008,72,132.990562
0.7222,74,133.091592
0.75856,64,133.104064
0.74756,67,133.111647
0.72704,73,133.141867
0.72304,74,133.157172
0.738,70,133.167254
0.79092,55,133.181887
0.71628,76,133.197903
0.76596,62,133.300117
0.80888,50,133.325755
0.73012,72,133.345575
0.75888,64,133.357968
0.72008,75,133.361492
0.78008,58,133.386291
0.74452,68,133.394359
0.72604,73,133.424323
0.71876,75,133.554026
0.74076,69,133.558977
0.77656,59,133.559037
0.75472,65,133.565474
0.76232,63,133.573941
0.7622,63,133.602887
0.76312,63,133.60964
0.72572,73,133.676446
0.7768,59,139.982242
0.74792,67,140.004951
0.74472,68,140.017961
0.7252,73,140.040613
0.75156,66,140.063744
0.7332,71,140.075787
0.70212,80,140.084425
0.75852,64,140.127973
0.80196,52,140.198718
0.75096,66,140.284439
0.7148,76,140.338689
0.75816,64,140.352671
0.71176,77,140.394727
0.685,85,140.408303
0.68788,84,140.443498
0.73028,72,140.443566
0.74356,68,140.476277
0.76956,61,141.042833
0.76956,61,141.042901
0.73664,70,141.070893
0.70284,80,141.101875
0.70284,80,141.103143
0.69936,81,141.109215
0.69936,81,141.109274
0.69936,81,141.109286
0.83024,44,141.200442
0.7628,63,141.272945
0.76568,62,141.334672
0.72412,74,141.342549
0.75072,66,141.350831
