#{"t_start": 1700748208.640198, "env_id": "None"}
r,l,t
0.70888,78,0.635112
0.70888,78,0.635182
0.70888,78,0.635191
0.70888,78,0.635198
0.70888,78,0.635203
0.70888,78,0.635209
0.70888,78,0.635218
0.70888,78,0.635224
0.70888,78,0.90046
0.70888,78,0.900529
0.70888,78,0.900538
0.70888,78,0.900544
0.70888,78,0.90055
0.70888,78,0.900556
0.70888,78,0.900561
0.70888,78,0.900566
0.70888,78,1.167471
0.70888,78,1.16753
0.70888,78,1.167539
0.70888,78,1.167546
0.70888,78,1.167551
0.70888,78,1.167557
0.70888,78,1.167562
0.70888,78,1.167568
0.70888,78,1.433081
0.70888,78,1.433135
0.70888,78,1.433144
0.70888,78,1.433152
0.70888,78,1.433157
0.70888,78,1.433163
0.70888,78,1.433168
0.70888,78,1.433173
0.7348,71,2.098744
0.72968,72,2.102287
0.72684,73,2.106647
0.71656,76,2.119565
0.70856,78,2.12767
0.7098,78,2.127723
0.70228,80,2.136544
0.68168,86,2.161389
0.71724,76,2.404915
0.70168,80,2.41827
0.68064,86,2.450353
0.68776,84,2.454593
0.69184,83,2.459112
0.69072,83,2.459159
0.68812,84,2.471958
0.69804,81,2.483206
0.7486,67,2.677035
0.6908,83,2.731238
0.70584,79,2.759426
0.7128,77,2.759484
0.70916,78,2.763096
0.69468,82,2.776223
0.70164,80,2.783104
0.70176,80,2.79563
0.7054,79,19.699437
0.75556,65,19.736252
0.7088,78,19.744062
0.71996,75,19.761924
0.70948,78,19.774859
0.685,85,19.805259
0.70136,80,19.805321
0.70348,80,19.817524
0.74132,69,19.961117
0.7298,72,20.03217
0.70856,78,20.032241
0.73756,70,20.036832
0.70892,78,20.040288
0.72284,74,20.082479
0.68712,84,20.118213
0.69132,83,20.126965
0.69104,83,20.269232
0.7334,71,20.30298
0.76988,61,20.307212
0.712,77,20.320182
0.7126,77,20.32483
0.70844,78,20.324887
0.74032,69,20.384868
0.68052,86,20.441207
0.71572,76,21.048379
0.71572,76,21.048445
0.71572,76,21.048457
0.71572,76,21.048465
0.71572,76,21.048472
0.71572,76,21.048479
0.71572,76,21.048485
0.71572,76,21.048492
0.74504,68,38.057261
0.73,72,38.0759
0.72688,73,38.080151
0.72028,75,38.089112
0.71596,76,38.095277
0.70228,80,38.116488
0.6924,83,38.12903
0.65644,93,38.170229
0.7448,68,38.357673
0.73328,71,38.387905
0.71244,77,38.428349
0.69888,81,38.437519
0.70536,79,38.442707
0.72256,74,38.452311
0.7092,78,38.456579
0.74104,69,38.473604
0.74124,69,38.64922
0.73808,70,38.716522
0.73784,70,38.723626
0.69824,81,38.723693
0.72016,75,38.752946
0.7054,79,38.78212
0.70136,80,38.782187
0.68028,86,38.824325
0.70928,78,55.799195
0.72696,73,55.861314
0.70548,79,55.878773
0.70956,78,55.883788
0.71584,76,55.903111
0.7118,77,55.9403
0.71264,77,55.940363
0.69844,81,56.009037
0.70156,80,56.151948
0.72688,73,56.185649
0.73784,70,56.196583
0.74812,67,56.201225
0.69792,81,56.249119
0.72612,73,56.274738
0.70144,80,56.308047
0.72352,74,56.350116
0.73036,72,56.550965
0.69792,81,56.561061
0.71656,76,56.590554
0.70508,79,56.602593
0.734,71,56.613618
0.73756,70,56.634955
0.74156,69,56.716037
0.69524,82,56.732718
0.72268,74,57.502713
0.72268,74,57.502777
0.72268,74,57.502788
0.72268,74,57.502795
0.72268,74,57.502802
0.72268,74,57.502809
0.72268,74,57.502815
0.72268,74,57.502821
0.75888,64,74.51793
0.72736,73,74.55625
0.71984,75,74.565708
0.7122,77,74.57413
0.70444,79,74.583245
0.70568,79,74.583309
0.70232,80,74.587698
0.6924,83,74.600476
0.74472,68,74.79068
0.73396,71,74.860895
0.72024,75,74.860976
0.7234,74,74.865422
0.70924,78,74.865471
0.71916,75,74.879658
0.70184,80,74.905851
0.70892,78,74.909478
0.73816,70,75.080948
0.75828,64,75.145309
0.72336,74,75.17277
0.7118,77,75.182725
0.70564,79,75.191847
0.7086,78,75.191907
0.73436,71,75.200137
0.71344,77,75.226515
0.71936,75,75.394062
0.74068,69,92.36493
0.70848,78,92.373243
0.7272,73,92.397358
0.7238,74,92.40165
0.72392,74,92.408944
0.69864,81,92.420746
0.72668,73,92.432972
0.72352,74,92.59199
0.72732,73,92.651087
0.72288,74,92.665688
0.741,69,92.670609
0.73692,70,92.679581
0.7514,66,92.696099
0.7136,77,92.716053
0.70596,79,92.735788
0.702,80,92.911107
0.74116,69,92.932001
0.7336,71,92.954219
0.72624,73,92.959174
0.72692,73,92.986551
0.69488,82,93.006466
0.70952,78,93.0262
0.72004,75,93.034676
0.72688,73,93.727124
0.72688,73,93.727175
0.72688,73,93.727185
0.72688,73,93.727192
0.72688,73,93.727199
0.72688,73,93.727205
0.72688,73,93.72721
0.72688,73,93.727216
0.74476,68,110.821469
0.72992,72,110.839728
0.73048,72,110.839794
0.72336,74,110.849189
0.7162,76,110.857264
0.70912,78,110.865242
0.7062,79,110.869636
0.68472,85,110.894872
0.74096,69,111.096309
0.74164,69,111.112563
0.73108,72,111.140339
0.72308,74,111.140411
0.74068,69,111.140422
0.73368,71,111.145556
0.70212,80,111.15733
0.7056,79,111.205678
0.7338,71,111.387098
0.70132,80,111.407702
0.73696,70,111.418762
0.72684,73,111.426504
0.72064,75,111.435312
0.70592,79,111.453029
0.72992,72,111.48925
0.68776,84,111.489318
0.77012,61,111.648147
0.74804,67,111.652824
0.73372,71,111.700823
0.71616,76,128.59255
0.7232,74,128.601924
0.72288,74,128.618268
0.74868,67,128.626901
0.71252,77,128.66286
0.71216,77,128.819755
0.70452,79,128.831253
0.74064,69,128.852746
0.7132,77,128.870514
0.74156,69,128.882012
0.70208,80,128.915822
0.74148,69,128.920755
0.6804,86,128.925207
0.72792,73,129.102499
0.70556,79,129.115299
0.72712,73,129.129126
0.72624,73,129.16045
0.7096,78,129.167918
0.73404,71,129.190613
0.73788,70,129.190678
0.7158,76,129.206292
0.76328,63,129.362144
0.72312,74,129.890099
0.72312,74,129.89015
0.72312,74,129.890166
0.72312,74,129.890177
0.72312,74,129.890184
0.72312,74,129.890191
0.72312,74,129.8902
0.72312,74,129.890207
0.76592,62,147.451708
0.759,64,147.458484
0.74792,67,147.469131
0.7298,72,147.486328
0.73032,72,147.486385
0.72364,74,147.493495
0.72308,74,147.493562
0.71328,77,147.505256
0.76672,62,147.674628
0.78812,56,147.686929
0.7236,74,147.706997
0.73388,71,147.715469
0.73072,72,147.73737
0.73004,72,147.74623
0.705,79,147.762789
0.7234,74,147.762851
0.7448,68,147.911275
0.73724,70,147.937302
0.7442,68,147.953343
0.74056,69,147.965253
0.73376,71,147.999222
0.72408,74,148.003236
0.74456,68,148.006647
0.7232,74,148.026288
0.7408,69,148.169286
0.75172,66,148.237622
0.69816,81,148.327282
0.70904,78,148.33411
0.75168,66,148.357062
0.74092,69,148.365374
0.72684,73,148.386428
0.74824,67,148.391259
0.7302,72,166.474184
0.77308,60,166.507434
0.75952,64,166.530661
0.70192,80,166.567676
0.73408,71,166.58752
0.7192,75,166.60413
0.73708,70,166.615336
0.69512,82,166.673098
0.7556,65,166.814405
0.75852,64,166.838009
0.75552,65,166.87384
0.74472,68,166.928685
0.7584,64,166.94334
0.74828,67,166.970445
0.71664,76,166.99366
0.756,65,167.019132
0.76224,63,167.167678
0.74392,68,167.167751
0.752,66,167.212673
0.77688,59,167.241873
0.74096,69,167.276602
0.74864,67,167.312868
0.75892,64,168.025033
0.75892,64,168.02509
0.75892,64,168.025102
0.75892,64,168.02511
0.75892,64,168.025116
0.75892,64,168.025123
0.75892,64,168.02513
0.75892,64,168.025136
0.79872,53,168.335802
0.75132,66,186.025458
0.74832,67,186.033474
0.74444,68,186.039582
0.74088,69,186.046296
0.73396,71,186.057498
0.73348,71,186.057555
0.71984,75,186.078742
0.788,56,186.227423
0.76988,61,186.309116
0.75176,66,186.326227
0.76292,63,186.330325
0.75176,66,186.333951
0.7556,65,186.339295
0.76964,61,186.339354
0.71564,76,186.36495
0.77696,59,186.472038
0.76248,63,186.598685
0.75216,66,186.598753
0.74472,68,186.611717
0.74084,69,186.622881
0.71916,75,186.622942
0.76216,63,186.628018
0.7412,69,186.628079
0.72036,75,186.788224
0.76624,62,186.860618
0.75552,65,186.872766
0.76604,62,186.882634
0.72652,73,186.925482
0.72644,73,186.930361
0.72712,73,186.930414
0.69076,83,186.960232
0.73056,72,187.078567
0.78768,56,204.470756
0.74476,68,204.511109
0.73772,70,204.539675
0.76948,61,204.569893
0.75576,65,204.587579
0.75872,64,204.587645
0.75628,65,204.627893
0.76244,63,204.772908
0.76988,61,204.799597
0.78768,56,204.836302
0.75576,65,204.860601
0.79528,54,204.874631
0.77352,60,204.907229
0.7522,66,204.923263
0.78428,57,204.933854
0.79508,54,205.063717
0.73764,70,205.176466
0.76568,62,205.194776
0.7624,63,205.212098
0.73004,72,205.228275
0.75944,64,205.247401
0.76572,62,205.252255
0.77028,61,205.256701
0.78396,57,205.380922
0.8024,52,206.001799
0.8024,52,206.00188
0.8024,52,206.001892
0.8024,52,206.001898
0.8024,52,206.001904
0.8024,52,206.00191
0.8024,52,206.001915
0.8024,52,206.001921
0.78796,56,206.324432
0.78412,57,206.330013
0.76696,62,206.357237
0.76688,62,206.35729
0.76644,62,206.357299
0.75856,64,206.367939
0.75572,65,206.374654
0.7518,66,206.380603
0.77292,60,223.844539
0.78056,58,223.869616
0.7446,68,223.880418
0.76264,63,223.885446
0.75888,64,223.889865
0.76644,62,223.898553
0.74436,68,223.909781
0.73088,72,223.938261
0.78804,56,224.09839
0.79168,55,224.115452
0.7838,57,224.147014
0.76636,62,224.152202
0.78724,56,224.152259
0.7558,65,224.171147
0.75136,66,224.182281
0.78428,57,224.190532
0.79472,54,224.329932
0.752,66,224.399542
0.78072,58,224.42624
0.75888,64,224.435249
0.7444,68,224.453935
0.76244,63,224.468321
0.72696,73,224.47441
0.73756,70,224.493634
0.74836,67,224.634718
0.78432,57,224.660863
0.77748,59,224.693925
0.76268,63,224.721277
0.75552,65,224.749182
0.76896,61,224.766766
0.75164,66,224.766835
0.7448,68,224.780717
0.75908,64,242.10907
