#{"t_start": 1700737773.3161678, "env_id": "None"}
r,l,t
0.79352,57,1.180598
0.79352,57,1.180689
0.79352,57,1.180703
0.79352,57,1.180712
0.79352,57,1.180719
0.79352,57,1.180724
0.79352,57,1.180733
0.79352,57,1.180739
0.77008,64,1.419274
0.77008,64,1.419336
0.77008,64,1.419346
0.77008,64,1.419353
0.77008,64,1.419359
0.77008,64,1.419364
0.77008,64,1.41937
0.77008,64,1.419376
0.7562,68,1.665187
0.7562,68,1.665237
0.7562,68,1.665246
0.7562,68,1.665254
0.7562,68,1.66526
0.7562,68,1.665267
0.7562,68,1.665273
0.7562,68,1.665279
0.75824,67,1.914355
0.75824,67,1.914426
0.75824,67,1.914436
0.75824,67,1.914443
0.75824,67,1.91445
0.75824,67,1.914456
0.75824,67,1.914461
0.75824,67,1.914467
0.76956,64,2.646314
0.75564,68,2.676174
0.74592,71,2.70049
0.74136,72,2.712418
0.73868,73,2.72178
0.72848,76,2.742673
0.72428,77,2.749963
0.7246,77,2.750012
0.90352,25,2.875381
0.9136,22,2.896165
0.85864,38,2.966884
0.81732,50,2.994767
0.85468,39,3.008208
0.8448,42,3.021146
0.79308,57,3.066154
0.80616,53,3.072666
0.75292,69,3.329598
0.74556,71,3.361697
0.76632,65,3.393874
0.77068,64,3.439298
0.74532,71,3.474848
0.72508,77,3.507266
0.76016,67,3.514139
0.75628,68,3.52859
0.79664,56,3.739823
0.75616,68,3.784381
0.77592,62,3.857016
0.73872,73,3.88286
0.79336,57,3.890139
0.7966,56,3.897197
0.76988,64,3.903905
0.75584,68,5.948854
0.78072,61,6.130424
0.80404,54,6.252913
0.73576,74,6.266471
0.7702,64,6.274186
0.7732,63,6.305597
0.76972,64,6.305661
0.79424,57,6.324709
0.71528,80,6.408886
0.81036,52,6.614163
0.73252,75,6.628617
0.78612,59,6.643178
0.80724,53,6.658288
0.7834,60,6.727181
0.74936,70,6.734806
0.75956,67,6.756986
0.78052,61,6.816509
0.77232,63,7.063656
0.77556,62,7.071449
0.74096,72,7.100002
0.72884,76,7.13991
0.77956,61,7.139967
0.7546,68,7.181393
0.73136,75,7.253549
0.75212,69,7.271465
0.77568,62,7.482791
0.77988,61,7.502655
0.74512,71,7.537273
0.80052,55,8.003232
0.80052,55,8.003796
0.80052,55,8.003817
0.80052,55,8.003825
0.80052,55,8.003832
0.77012,64,8.037264
0.77012,64,8.037333
0.77012,64,8.037347
0.80824,53,10.442363
0.79724,56,10.461221
0.79032,58,10.474552
0.78748,59,10.480712
0.79592,56,10.522064
0.77548,62,10.561456
0.73524,74,10.5816
0.7482,70,10.616528
0.84776,41,10.717714
0.77188,63,10.895166
0.79276,57,10.901912
0.84088,43,10.901979
0.7544,68,10.915323
0.79264,57,10.941385
0.79644,56,10.955222
0.72824,76,10.988234
0.81008,52,11.061084
0.8456,42,11.177592
0.82092,49,11.224019
0.83488,45,11.236776
0.796,56,11.262223
0.78676,59,11.340329
0.83164,46,11.359317
0.73888,73,11.390395
0.76504,65,11.409139
0.84552,42,11.492784
0.8146,51,11.506203
0.80736,53,11.575832
0.80032,55,11.613243
0.80756,53,11.679015
0.78288,60,11.740539
0.78656,59,11.768079
0.83832,44,11.787366
0.78624,59,11.787424
0.86908,35,11.800426
0.81096,52,11.825532
0.8,55,13.923055
0.76248,66,13.930951
0.77952,61,14.028629
0.78264,60,14.0666
0.77608,62,14.093624
0.72516,77,14.173731
0.70992,81,14.180495
0.73468,74,14.193222
0.82788,47,14.225684
0.90392,25,14.225743
0.77592,62,14.32721
0.87248,34,14.397431
0.76248,66,14.448066
0.773,63,14.491503
0.78652,59,14.548603
0.78008,61,14.58105
0.7516,69,14.663358
0.73476,74,14.694897
0.7754,62,14.720869
0.75868,67,14.820915
0.76252,66,14.863592
0.71776,79,14.991171
0.73508,74,15.01653
0.73908,73,15.042363
0.77592,62,15.084533
0.75552,68,15.145423
0.7254,77,15.145486
0.77308,63,15.213018
0.7762,62,15.252865
0.79328,57,15.700888
0.79328,57,15.700956
0.79328,57,15.700967
0.79328,57,15.700975
0.74252,72,15.75447
0.74252,72,15.754531
0.74252,72,15.754541
0.74252,72,15.754548
0.78372,60,18.009121
0.73216,75,18.102149
0.78332,60,18.102199
0.722,78,18.122514
0.76928,64,18.130003
0.71496,80,18.1368
0.75532,68,18.15735
0.73116,75,18.202397
0.89276,28,18.283477
0.84108,43,18.283539
0.8418,43,18.406345
0.81072,52,18.45098
0.73236,75,18.576999
0.75228,69,18.590336
0.72888,76,18.609649
0.75308,69,18.635867
0.77352,63,18.680599
0.773,63,18.680662
0.80088,55,18.760056
0.84784,41,18.875073
0.82072,49,18.893852
0.74576,71,18.907326
0.83112,46,18.930907
0.79924,55,18.944913
0.7756,62,19.075892
0.75524,68,19.11376
0.76152,66,19.178786
0.79732,56,19.246747
0.78268,60,19.283276
0.74652,71,19.31875
0.78364,60,19.318804
0.77372,63,19.325931
0.77296,63,19.469365
0.74512,71,21.464034
0.85588,39,21.477096
0.74464,71,21.524205
0.82132,49,21.530045
0.8102,52,21.549193
0.76876,64,21.549251
0.71112,81,21.691123
0.76932,64,21.855808
0.78992,58,21.904775
0.69516,86,21.904845
0.73468,74,21.93028
0.76304,66,21.930333
0.72448,77,22.003379
0.72524,77,22.024492
0.7458,71,22.129681
0.80428,54,22.263844
0.77632,62,22.288652
0.76668,65,22.306145
0.73256,75,22.318358
0.7328,75,22.393329
0.76284,66,22.430694
0.73888,73,22.45592
0.73468,74,22.584306
0.8072,53,22.61286
0.7458,71,22.701139
0.7596,67,22.731537
0.80072,55,22.731593
0.78628,59,23.186173
0.78628,59,23.186234
0.78628,59,23.186245
0.76992,64,23.204189
0.76992,64,23.204259
0.76992,64,23.204273
0.70484,83,23.268903
0.70484,83,23.268974
0.84908,41,25.46579
0.75888,67,25.510765
0.74508,71,25.535269
0.74152,72,25.542074
0.72512,77,25.542127
0.71152,81,25.567786
0.70212,84,25.586121
0.75232,69,25.644118
0.8282,47,25.840388
0.76904,64,25.915272
0.77972,61,25.9226
0.74228,72,25.922657
0.75884,67,25.966615
0.76624,65,25.979462
0.78316,60,26.024681
0.73232,75,26.064175
0.81736,50,26.24575
0.70728,82,26.368164
0.77348,63,26.375102
0.7464,71,26.381466
0.735,74,26.394013
0.78988,58,26.400789
0.73116,75,26.464105
0.73468,74,26.539182
0.83168,46,26.661399
0.74992,70,26.693829
0.81084,52,26.714477
0.76656,65,26.79361
0.76272,66,26.817732
0.8348,45,26.830059
0.78316,60,26.849355
0.7218,78,26.900464
0.7874,59,27.037171
0.74172,72,29.02727
0.7492,70,29.03413
0.7902,58,29.059802
0.78732,59,29.07892
0.82104,49,29.085364
0.77088,64,29.1315
0.71544,80,29.175993
0.76592,65,29.328397
0.78976,58,29.43065
0.76624,65,29.443879
0.74816,70,29.480902
0.7662,65,29.499617
0.78992,58,29.499666
0.74832,70,29.525979
0.76536,65,29.59062
0.78348,60,29.71342
0.81724,50,29.803758
0.82752,47,29.803816
0.78664,59,29.810539
0.79288,57,29.810584
0.7628,66,29.978809
0.74176,72,29.99209
0.83824,44,30.023574
0.75628,68,30.055683
0.81728,50,30.149152
0.7836,60,30.218695
0.77632,62,30.23228
0.76968,64,30.239028
0.8242,48,30.299369
0.81108,52,30.700411
0.78668,59,30.726006
0.78668,59,30.726067
0.7514,69,30.762662
0.7514,69,30.762728
0.73292,75,30.784552
0.73292,75,30.784614
0.73292,75,30.784624
0.75276,69,31.089613
0.7564,68,32.986872
0.78052,61,33.006643
0.7892,58,33.026904
0.71492,80,33.065886
0.76876,64,33.06594
0.7394,73,33.08536
0.753,69,33.098481
0.763,66,33.373855
0.8114,52,33.399526
0.7688,64,33.418765
0.76272,66,33.451595
0.7306,75,33.471299
0.78748,59,33.47798
0.76528,65,33.484691
0.75176,69,33.528293
0.78288,60,33.764
0.83896,44,33.771169
0.76828,64,33.816442
0.77252,63,33.829241
0.79744,56,33.836039
0.77252,63,33.86157
0.78324,60,33.869937
0.76872,64,33.946923
0.82856,47,34.068394
0.81632,50,34.185634
0.79692,56,34.192746
0.77868,61,34.213477
0.76828,64,34.292113
0.71748,79,34.292174
0.73492,74,34.324164
0.74452,71,34.414695
0.80048,55,34.434254
0.82804,47,34.497449
0.81412,51,34.550364
0.76972,64,34.613975
0.78608,59,36.536947
0.79636,56,36.551072
0.77616,62,36.558354
0.804,54,36.633408
0.89328,28,36.669233
0.76432,65,36.729773
0.77652,62,36.778019
0.8214,49,36.892168
0.83748,44,36.932932
0.72544,77,36.932965
0.76544,65,36.979084
0.76904,64,36.98611
0.8788,32,36.993098
0.87224,34,37.115273
0.86936,35,37.159942
0.75904,67,37.173788
0.71792,79,37.193699
0.818,50,37.301022
0.7764,62,37.381383
0.72492,77,37.431807
0.74132,72,37.457739
0.82488,48,37.502438
0.86172,37,37.5383
0.75848,67,37.544816
0.7838,60,37.558476
0.86248,37,37.623254
0.70816,82,37.691741
0.80768,53,38.198584
0.79752,56,38.210638
0.79752,56,38.210689
0.77652,62,38.232517
0.77652,62,38.232581
0.77652,62,38.232593
0.77652,62,38.232601
0.72124,78,38.346938
0.82148,49,38.556984
0.8076,53,38.581567
0.77344,63,38.60606
0.75924,67,38.612144
0.77684,62,40.510679
0.75292,69,40.518129
0.766,65,40.530539
0.78336,60,40.599102
0.81704,50,40.769189
0.80432,54,40.825482
0.75832,67,40.850546
0.77964,61,40.864014
0.7832,60,40.894842
0.74212,72,40.96449
0.73536,74,40.996099
0.74856,70,41.041364
0.78652,59,41.140997
0.80392,54,41.190924
0.8108,52,41.190977
0.78268,60,41.203442
0.76912,64,41.293895
0.82144,49,41.300569
0.7904,58,41.325329
0.78648,59,41.404082
0.7958,56,41.481064
0.79024,58,41.543002
0.77652,62,41.567248
0.83392,45,41.596515
0.80028,55,41.628511
0.80304,54,41.628559
0.71128,81,41.698737
0.77684,62,41.788215
0.81012,52,41.870103
0.75912,67,41.900044
0.80688,53,41.963185
0.76972,64,41.970118
0.81768,50,42.012863
0.74984,70,42.038318
0.76648,65,42.03837
0.83196,46,42.07451
0.86232,37,44.005638
0.81724,50,44.158364
0.84524,42,44.176676
0.84848,41,44.209414
0.76952,64,44.240998
0.80736,53,44.248943
0.69776,85,44.280556
0.74932,70,44.329627
0.75564,68,44.436757
0.83864,44,44.519513
0.76616,65,44.57017
0.77336,63,44.577024
0.80012,55,44.626382
0.7422,72,44.669529
0.74224,72,44.707579
0.75328,69,44.771818
0.77324,63,44.843919
0.80456,54,44.928415
0.787,59,44.953493
0.74556,71,44.978031
0.79328,57,45.032851
0.76336,66,45.052097
0.77324,63,45.110081
0.7806,61,45.571174
0.76948,64,45.582825
0.76948,64,45.582878
0.76324,66,45.589899
0.76324,66,45.589961
0.76324,66,45.589972
0.76324,66,45.58998
0.76324,66,45.589988
0.835,45,45.879616
0.807,53,45.930305
0.79764,56,45.951288
0.79708,56,45.951349
0.77324,63,45.994897
0.75608,68,46.012767
0.73948,73,46.02576
0.74232,72,46.040304
0.78724,59,48.128085
0.84524,42,48.180724
0.7936,57,48.187824
0.77328,63,48.205779
0.76676,65,48.234754
0.7594,67,48.292378
0.75256,69,48.323452
0.74904,70,48.3417
0.8168,50,48.4466
0.80104,55,48.531423
0.76528,65,48.59904
0.76192,66,48.653059
0.73764,73,48.666415
0.80728,53,48.680344
0.775,62,48.687491
0.78412,60,48.707442
0.7734,63,48.84592
0.79964,55,48.876233
0.78344,60,48.978732
0.77284,63,49.055281
0.776,62,49.081511
0.76672,65,49.081566
0.75976,67,49.108552
0.74084,72,49.167126
0.783,60,49.232589
0.75244,69,49.334036
0.77616,62,49.392572
0.79332,57,49.438095
0.80332,54,49.445436
0.78316,60,49.483585
0.78628,59,49.502299
0.81816,50,49.568367
0.767,65,51.546806
0.76932,64,51.700863
0.77652,62,51.748272
0.79768,56,51.802756
0.79012,58,51.835204
0.7558,68,51.842197
0.81416,51,51.855531
0.74208,72,51.863951
0.80072,55,51.917286
0.80048,55,52.067095
0.79712,56,52.121809
0.82088,49,52.166065
0.7766,62,52.21373
0.7832,60,52.311525
0.74904,70,52.325105
0.7348,74,52.325165
0.74572,71,52.325178
0.76592,65,52.491968
0.77704,62,52.525775
0.7838,60,52.557671
0.78384,60,52.602865
0.8414,43,53.023385
0.8414,43,53.023457
0.8414,43,53.023469
0.8414,43,53.023477
0.82848,47,53.038733
0.82848,47,53.03879
0.756,68,53.111558
0.74956,70,53.119162
0.8308,46,53.360358
0.80672,53,53.404311
0.773,63,53.441022
0.76988,64,53.448889
0.76296,66,53.462172
0.75216,69,53.481268
0.78376,60,53.581823
0.79036,58,53.581889
0.84524,42,53.708191
0.7898,58,55.686768
0.73212,75,55.693918
0.77964,61,55.693977
0.74928,70,55.70665
0.77288,63,55.739115
0.8204,49,55.752178
0.763,66,55.858819
0.8006,55,56.044582
0.72448,77,56.056974
0.804,54,56.084356
0.8116,52,56.084413
0.7762,62,56.084424
0.77576,62,56.091858
0.7558,68,56.139745
0.82028,49,56.17233
0.85192,40,56.31211
0.82092,49,56.357163
0.82776,47,56.383013
0.78352,60,56.471934
0.77572,62,56.479087
0.7622,66,56.504361
0.74912,70,56.587548
0.74224,72,56.632693
0.76268,66,56.733728
0.74208,72,56.81451
0.7448,71,56.834305
0.76564,65,56.885077
0.75264,69,56.917407
0.74916,70,56.950955
0.77288,63,56.988687
0.77568,62,57.026498
0.77192,63,57.13576
0.7822,60,57.199894
0.77952,61,57.225084
0.81336,51,59.057108
0.8306,46,59.058097
0.77296,63,59.103258
0.76336,66,59.220307
0.82492,48,59.25183
0.76276,66,59.258242
0.8456,42,59.321102
0.7866,59,59.383976
0.79728,56,59.408972
0.80972,52,59.427548
0.72448,77,59.521595
0.79276,57,59.57701
0.78992,58,59.622698
0.75968,67,59.678002
0.78332,60,59.704772
0.78736,59,59.761304
0.77972,61,59.801297
0.7794,61,59.820315
0.78896,58,59.901186
0.80392,54,59.932816
0.82468,48,59.987503
0.78208,60,60.450745
0.76628,65,60.467623
0.75232,69,60.481765
0.75232,69,60.481818
0.74524,71,60.488753
0.74516,71,60.488808
0.74516,71,60.488818
0.74516,71,60.488825
0.82044,49,60.808806
