#{"t_start": 1700738008.979858, "env_id": "None"}
r,l,t
0.71044,78,1.314197
0.71044,78,1.314277
0.71044,78,1.314286
0.71044,78,1.314293
0.71044,78,1.314299
0.71044,78,1.314305
0.71044,78,1.314311
0.71044,78,1.314316
0.71044,78,1.589226
0.71044,78,1.58929
0.71044,78,1.589304
0.71044,78,1.589312
0.71044,78,1.589318
0.71044,78,1.589324
0.71044,78,1.58933
0.71044,78,1.589335
0.71044,78,1.861937
0.71044,78,1.861996
0.71044,78,1.862007
0.71044,78,1.862015
0.71044,78,1.862023
0.71044,78,1.862033
0.71044,78,1.862041
0.71044,78,1.862048
0.71044,78,2.14291
0.71044,78,2.142964
0.71044,78,2.142977
0.71044,78,2.142985
0.71044,78,2.142998
0.71044,78,2.143005
0.71044,78,2.143013
0.71044,78,2.143019
0.7372,70,2.95262
0.72688,73,2.973618
0.7226,74,2.980724
0.7242,74,2.980768
0.7156,76,2.997052
0.70108,80,3.023878
0.69792,81,3.031666
0.69136,83,3.044719
0.72988,72,3.45494
0.70932,78,3.475979
0.72696,73,3.482868
0.71568,76,3.489698
0.69824,81,3.522133
0.72032,75,3.522196
0.71964,75,3.530109
0.70876,78,3.565005
0.73784,70,3.927677
0.70864,78,4.01171
0.7124,77,4.011779
0.68856,84,4.045333
0.69464,82,4.081811
0.68884,84,4.096335
0.70172,80,4.109623
0.67448,88,4.129168
0.7024,80,6.516276
0.71236,77,6.571245
0.75548,65,6.585142
0.71668,76,6.597948
0.69792,81,6.598014
0.7234,74,6.628637
0.73752,70,6.634821
0.70148,80,6.653503
0.7124,77,6.983352
0.74104,69,7.002285
0.74456,68,7.010137
0.72688,73,7.016813
0.75524,65,7.029025
0.72024,75,7.053888
0.71948,75,7.083803
0.71856,75,7.108392
0.72328,74,7.465671
0.7092,78,7.478445
0.68792,84,7.497647
0.7022,80,7.497711
0.7204,75,7.509804
0.69844,81,7.522008
0.73392,71,7.541545
0.70176,80,7.572372
0.77728,59,8.23699
0.77728,59,8.237549
0.77728,59,8.237568
0.77728,59,8.237576
0.77728,59,8.237583
0.77728,59,8.23759
0.77728,59,8.2376
0.77728,59,8.237608
0.77372,60,10.698419
0.759,64,10.723654
0.75216,66,10.736854
0.74804,67,10.743251
0.72652,73,10.779745
0.71936,75,10.792009
0.71256,77,10.804652
0.67432,88,10.873149
0.74884,67,11.147608
0.73352,71,11.160913
0.71596,76,11.167785
0.72332,74,11.201239
0.73788,70,11.226191
0.73764,70,11.238104
0.68824,84,11.300798
0.73412,71,11.313515
0.7486,67,11.562369
0.74488,68,11.587928
0.742,69,11.58799
0.75588,65,11.600195
0.73,72,11.678567
0.773,60,11.67863
0.70544,79,11.709287
0.71936,75,11.758459
0.73724,70,13.870681
0.74088,69,13.889903
0.73704,70,13.896356
0.7346,71,13.913566
0.7516,66,13.957917
0.7336,71,13.989845
0.7198,75,14.04567
0.71552,76,14.098982
0.73148,72,14.300868
0.73768,70,14.306374
0.73744,70,14.312974
0.745,68,14.320093
0.71652,76,14.411594
0.71952,75,14.435627
0.70516,79,14.50749
0.72292,74,14.530021
0.7198,75,14.739699
0.7206,75,14.751609
0.71288,77,14.758487
0.70316,80,14.788171
0.75556,65,14.794874
0.74496,68,14.834883
0.70188,80,14.980529
0.69116,83,15.021945
0.73748,70,15.160887
0.74076,69,15.192537
0.76252,63,15.204233
0.7126,77,15.211259
0.69808,81,15.218101
0.72324,74,15.230586
0.7776,59,15.689758
0.7776,59,15.689821
0.7776,59,15.689832
0.7776,59,15.68984
0.7776,59,15.689857
0.7776,59,15.689864
0.7776,59,15.689871
0.7776,59,15.689878
0.75888,64,18.017968
0.7484,67,18.037874
0.7482,67,18.037949
0.73728,70,18.057708
0.71976,75,18.087886
0.70932,78,18.108384
0.70876,78,18.108444
0.68892,84,18.147972
0.74524,68,18.448275
0.73056,72,18.455591
0.7236,74,18.484168
0.7558,65,18.496311
0.71192,77,18.518613
0.73804,70,18.52521
0.72696,73,18.525262
0.745,68,18.547629
0.7226,74,18.880994
0.72132,75,18.89397
0.7554,65,18.904973
0.72752,73,18.922277
0.74132,69,18.929304
0.71552,76,18.929353
0.71944,75,18.958945
0.71984,75,18.987115
0.7522,66,19.2729
0.76276,63,21.244183
0.74084,69,21.244709
0.70164,80,21.270173
0.71232,77,21.276862
0.72352,74,21.283403
0.72296,74,21.283458
0.75592,65,21.29079
0.76304,63,21.572191
0.7446,68,21.647191
0.75524,65,21.665872
0.71252,77,21.700341
0.7226,74,21.707484
0.71884,75,21.719891
0.71232,77,21.742301
0.69548,82,21.76802
0.6982,81,22.052726
0.73836,70,22.065091
0.7658,62,22.071761
0.75572,65,22.09536
0.71904,75,22.113486
0.74432,68,22.147703
0.72644,73,22.153986
0.7484,67,22.165307
0.74116,69,22.471603
0.72692,73,22.483187
0.73788,70,22.483244
0.79868,53,22.938784
0.79868,53,22.938847
0.79868,53,22.938857
0.79868,53,22.938863
0.79868,53,22.93887
0.79868,53,22.938876
0.79868,53,22.938881
0.79868,53,22.938886
0.78036,58,25.243456
0.77688,59,25.252212
0.76616,62,25.269434
0.75932,64,25.281006
0.75188,66,25.292535
0.74216,69,25.313122
0.73372,71,25.326959
0.71608,76,25.357061
0.77372,60,25.599487
0.78744,56,25.642728
0.74812,67,25.649821
0.76256,63,25.670637
0.73044,72,25.699141
0.74856,67,25.722721
0.7082,78,25.747876
0.741,69,25.766172
0.76936,61,25.968673
0.76232,63,26.049871
0.73784,70,26.075339
0.755,65,26.095957
0.70152,80,26.131555
0.75892,64,26.13714
0.75136,66,26.165495
0.71288,77,26.188807
0.78412,57,26.311832
0.78796,56,26.431728
0.7376,70,26.473001
0.74132,69,26.492235
0.75592,65,26.520386
0.78412,57,26.532347
0.737,70,26.554848
0.75144,66,26.56211
0.74848,67,28.59923
0.78748,56,28.646868
0.813,49,28.646926
0.72652,73,28.807995
0.76272,63,28.818486
0.74856,67,28.83482
0.72016,75,28.84732
0.692,83,28.903158
0.75572,65,28.977084
0.7626,63,29.012998
0.74476,68,29.042109
0.76952,61,29.174765
0.76284,63,29.17483
0.7558,65,29.215982
0.71988,75,29.28959
0.75492,65,29.28965
0.7948,54,29.338841
0.79884,53,29.362159
0.7446,68,29.38605
0.77704,59,29.524294
0.79804,53,29.529909
0.8054,51,29.593126
0.79868,53,29.604959
0.73036,72,29.605024
0.76672,62,29.706571
0.75512,65,29.746828
0.83488,43,30.189433
0.83488,43,30.189507
0.83488,43,30.189518
0.83488,43,30.189535
0.83488,43,30.189542
0.83488,43,30.189549
0.83488,43,30.189559
0.83488,43,30.189565
0.79136,55,32.490477
0.77676,59,32.513346
0.77672,59,32.513409
0.77676,59,32.51342
0.76656,62,32.532527
0.76268,63,32.539323
0.75924,64,32.545071
0.74428,68,32.569266
0.77352,60,32.850976
0.7808,58,32.863015
0.77732,59,32.888033
0.77364,60,32.901085
0.7552,65,32.908187
0.76996,61,32.913683
0.76636,62,32.94111
0.73412,71,32.941168
0.79816,53,33.177052
0.80608,51,33.204888
0.79488,54,33.216473
0.7698,61,33.245635
0.78096,58,33.253082
0.7304,72,33.278877
0.7588,64,33.319481
0.75868,64,33.319546
0.802,52,33.521644
0.75184,66,33.572026
0.78748,56,33.584466
0.79112,55,33.584528
0.75932,64,33.602113
0.76652,62,33.650488
0.79128,55,33.650552
0.7384,70,33.736419
0.76612,62,33.879151
0.7806,58,33.921538
0.77324,60,33.933744
0.76244,63,33.940321
0.79176,55,33.969918
0.75552,65,35.832953
0.76972,61,35.857823
0.7914,55,35.9082
0.80212,52,36.040669
0.79836,53,36.10113
0.7734,60,36.133333
0.77336,60,36.153429
0.80956,50,36.15979
0.78364,57,36.166454
0.76296,63,36.213381
0.77016,61,36.279382
0.79872,53,36.425165
0.74092,69,36.46343
0.788,56,36.503321
0.78068,58,36.509813
0.76256,63,36.517031
0.79848,53,36.534613
0.75164,66,36.552934
0.74836,67,36.683622
0.75852,64,36.804478
0.77348,60,36.817572
0.79144,55,36.83314
0.79508,54,36.850793
0.78388,57,36.850851
0.75868,64,36.881629
0.76244,63,36.922632
0.84928,39,37.385587
0.84928,39,37.385653
0.84928,39,37.385664
0.84928,39,37.385672
0.84928,39,37.385679
0.84928,39,37.385686
0.84928,39,37.385692
0.84928,39,37.385698
0.81292,49,37.773276
0.78428,57,37.820842
0.78052,58,37.827487
0.78064,58,37.827535
0.76976,61,39.697339
0.75928,64,39.716439
0.759,64,39.716497
0.75568,65,39.723122
0.79868,53,39.946036
0.78028,58,40.023985
0.80204,52,40.034475
0.75172,66,40.076821
0.75176,66,40.076883
0.76988,61,40.083405
0.7662,62,40.090662
0.74824,67,40.102242
0.7806,58,40.287712
0.82372,46,40.344922
0.78796,56,40.350577
0.79172,55,40.357347
0.78768,56,40.410773
0.77332,60,40.437594
0.76964,61,40.452968
0.73696,70,40.485719
0.777,59,40.628867
0.79544,54,40.670981
0.77308,60,40.699178
0.75908,64,40.716347
