#{"t_start": 1703102563.282022, "env_id": "None"}
r,l,t
0.72312,74,3.215946
0.72312,74,3.216072
0.72312,74,3.216083
0.72312,74,3.21609
0.72312,74,3.216097
0.72312,74,3.216103
0.72312,74,3.216109
0.72312,74,3.216114
0.72312,74,4.144094
0.72312,74,4.144149
0.72312,74,4.144159
0.72312,74,4.144166
0.72312,74,4.144173
0.72312,74,4.144179
0.72312,74,4.144185
0.72312,74,4.14419
0.72312,74,5.072337
0.72312,74,5.072439
0.72312,74,5.072462
0.72312,74,5.072474
0.72312,74,5.072488
0.72312,74,5.072496
0.72312,74,5.072506
0.72312,74,5.072515
0.72312,74,5.992444
0.72312,74,5.992541
0.72312,74,5.992552
0.72312,74,5.992559
0.72312,74,5.992566
0.72312,74,5.992572
0.72312,74,5.992578
0.72312,74,5.992584
0.72612,73,7.440157
0.72396,74,7.453096
0.72268,74,7.453144
0.71544,76,7.483419
0.70232,80,7.54135
0.70292,80,7.541414
0.70164,80,7.541424
0.69092,83,7.575519
0.73156,72,8.423477
0.7046,79,8.479591
0.70872,78,8.479662
0.72708,73,8.49104
0.7028,80,8.506601
0.7236,74,8.506692
0.7128,77,8.545088
0.69208,83,8.65929
0.73376,71,9.328874
0.73412,71,9.374776
0.7268,73,9.400829
0.7298,72,9.413384
0.71984,75,9.488048
0.70304,80,9.502025
0.74528,68,9.516949
0.70248,80,9.51703
0.77344,60,34.358169
0.71596,76,34.619457
0.71572,76,34.634053
0.68848,84,34.692766
0.71976,75,34.692874
0.71688,76,34.722116
0.69944,81,34.790306
0.68524,85,34.83801
0.73796,70,35.190916
0.7592,64,35.442235
0.70196,80,35.5576
0.7056,79,35.557694
0.7126,77,35.595169
0.71584,76,35.608649
0.71936,75,35.663872
0.68448,85,35.828955
0.75228,66,35.960235
0.72308,74,36.302433
0.734,71,36.413798
0.7302,72,36.441533
0.71276,77,36.451835
0.69068,83,36.523769
0.71612,76,36.550565
0.70504,79,36.741764
0.72636,73,38.108712
0.72636,73,38.108795
0.72636,73,38.108815
0.72636,73,38.10885
0.72636,73,38.108881
0.72636,73,38.108901
0.72636,73,38.108926
0.72636,73,38.108956
0.7444,68,62.343404
0.71216,77,62.458972
0.7094,78,62.473774
0.70944,78,62.473863
0.70552,79,62.488326
0.70212,80,62.500538
0.69528,82,62.524621
0.69068,83,62.536516
0.74068,69,63.167633
0.72636,73,63.319782
0.74812,67,63.319873
0.7264,73,63.33277
0.7334,71,63.332845
0.71288,77,63.422094
0.6952,82,63.447256
0.67676,87,63.495088
0.73408,71,64.024655
0.76624,62,64.091752
0.72688,73,64.212426
0.72296,74,64.23686
0.7056,79,64.290481
0.73816,70,64.290554
0.71932,75,64.370758
0.71212,77,64.446159
0.73688,70,88.582884
0.70172,80,88.750444
0.73788,70,88.774551
0.74788,67,88.788415
0.71184,77,88.83492
0.70476,79,88.925035
0.70824,78,89.000138
0.69512,82,89.116486
0.75544,65,89.486823
0.75596,65,89.567461
0.67764,87,89.567558
0.73824,70,89.581431
0.7196,75,89.625239
0.73744,70,89.711574
0.75532,65,89.726136
0.72652,73,89.937376
0.7734,60,90.310774
0.71188,77,90.367893
0.73028,72,90.390597
0.71956,75,90.425331
0.71224,77,90.4612
0.7444,68,90.496489
0.72036,75,90.590005
0.69056,83,90.88832
0.76212,63,92.139727
0.76212,63,92.139785
0.76212,63,92.1398
0.76212,63,92.139809
0.76212,63,92.139816
0.76212,63,92.139823
0.76212,63,92.13983
0.76212,63,92.139837
0.74828,67,115.891542
0.73748,70,115.929688
0.7336,71,115.940417
0.73396,71,115.940505
0.73004,72,115.954073
0.7194,75,115.988896
0.70888,78,116.031379
0.70836,78,116.031428
0.76976,61,116.730911
0.7414,69,116.743633
0.73828,70,116.743683
0.72328,74,116.75545
0.73048,72,116.780086
0.7274,73,116.803288
0.71232,77,116.885069
0.71292,77,116.916005
0.72616,73,117.570523
0.73044,72,117.570615
0.72716,73,117.58236
0.72328,74,117.609439
0.72344,74,117.631747
0.71908,75,117.668808
0.72376,74,117.739932
0.72968,72,117.750522
0.73488,71,141.129573
0.74076,69,141.130616
0.71956,75,141.145648
0.70832,78,141.181726
0.70196,80,141.220225
0.72656,73,141.22034
0.72656,73,141.3121
0.7194,75,141.326254
0.75524,65,141.934031
0.75144,66,141.934095
0.7588,64,141.960084
0.741,69,141.973905
0.74768,67,142.038244
0.73756,70,142.080015
0.71948,75,142.236394
0.71568,76,142.236493
0.75888,64,142.772596
0.7192,75,142.878679
0.71548,76,142.889836
0.72012,75,142.902913
0.7376,70,142.94977
0.72716,73,142.949822
0.76552,62,143.01694
0.71604,76,143.189842
0.75872,64,143.569515
0.78036,58,143.61295
0.77004,61,143.627176
0.76972,61,143.696883
0.7764,59,144.748031
0.7764,59,144.748105
0.7764,59,144.748117
0.7764,59,144.748126
0.7764,59,144.748132
0.7764,59,144.748138
0.7764,59,144.748143
0.7764,59,144.748149
0.76996,61,168.683868
0.76596,62,168.699066
0.76232,63,168.712327
