#{"t_start": 1703105726.601085, "env_id": "None"}
r,l,t
0.73872,73,3.086486
0.73872,73,3.086577
0.73872,73,3.086608
0.73872,73,3.086626
0.73872,73,3.086646
0.73872,73,3.086666
0.73872,73,3.08668
0.73872,73,3.086697
0.77892,61,3.788573
0.77892,61,3.788623
0.77892,61,3.788634
0.77892,61,3.788642
0.77892,61,3.78865
0.77892,61,3.788658
0.77892,61,3.788665
0.77892,61,3.788671
0.7484,70,4.620298
0.7484,70,4.620356
0.7484,70,4.620367
0.7484,70,4.620376
0.7484,70,4.620384
0.7484,70,4.620391
0.7484,70,4.620398
0.7484,70,4.620405
0.73548,74,5.479233
0.73548,74,5.479325
0.73548,74,5.479349
0.73548,74,5.479367
0.73548,74,5.479381
0.73548,74,5.479396
0.73548,74,5.479419
0.73548,74,5.479453
0.84532,42,6.55173
0.83144,46,6.612745
0.83148,46,6.61281
0.78344,60,6.803458
0.78324,60,6.803552
0.77672,62,6.831185
0.7732,63,6.845765
0.77012,64,6.860794
0.83844,44,7.185685
0.79,58,7.312332
0.78984,58,7.359002
0.83132,46,7.381475
0.8348,45,7.412555
0.80396,54,7.490286
0.7658,65,7.662695
0.74524,71,7.768552
0.76876,64,8.024959
0.75272,69,8.405099
0.72512,77,8.405189
0.72128,78,8.441122
0.70404,83,8.456629
0.69148,87,8.456713
0.7584,67,8.65401
0.72204,78,8.694279
0.73512,74,8.985746
0.78056,61,9.185365
0.7734,63,9.264159
0.7324,75,30.57555
0.79704,56,30.612048
0.73208,75,30.625888
0.78,61,30.638964
0.70796,82,30.694601
0.74192,72,31.055786
0.75292,69,31.20546
0.76892,64,31.220319
0.79,58,31.294609
0.75924,67,31.343663
0.745,71,31.418512
0.73452,74,31.460534
0.71076,81,31.603541
0.7828,60,31.726313
0.7622,66,31.970869
0.75592,68,31.982125
0.75156,69,32.087161
0.77216,63,32.187879
0.73448,74,32.187936
0.831,46,32.270974
0.7218,78,32.31402
0.87596,33,32.46195
0.71472,80,32.529002
0.80316,54,32.600876
0.77536,62,32.683911
0.83076,46,32.720527
0.839,44,32.825892
0.7686,64,32.921198
0.75892,67,33.038248
0.80336,54,33.155108
0.77632,62,33.178842
0.8148,51,33.318981
0.80096,55,34.568495
0.80096,55,34.568553
0.80096,55,34.568565
0.73516,74,34.870106
0.73516,74,34.870246
0.73516,74,34.87029
0.73516,74,34.870321
0.73516,74,34.870354
0.77292,63,57.203028
0.8136,51,57.285936
0.81024,52,57.300105
0.7386,73,57.329015
0.7346,74,57.340826
0.7798,61,57.41628
0.77244,63,57.444045
0.76312,66,57.479055
0.7694,64,58.062829
0.7316,75,58.108897
0.749,70,58.142837
0.7588,67,58.206729
0.73524,74,58.219742
0.77028,64,58.233498
0.7244,77,58.247435
0.73492,74,58.320349
0.85464,39,58.704713
0.80976,52,58.715169
0.8098,52,58.826158
0.73516,74,58.910805
0.7524,69,58.936495
0.7418,72,59.068019
0.7554,68,59.098722
0.90712,24,59.098819
0.72452,77,59.098849
0.84828,41,59.175817
0.83116,46,59.249394
0.81328,51,59.50904
0.78968,58,59.612789
0.79052,58,59.745688
0.76524,65,80.949127
0.76184,66,80.961114
0.76692,65,81.021672
0.71208,81,81.133789
0.7254,77,81.215493
0.79308,57,81.251725
0.80364,54,81.31756
0.845,42,81.418665
0.796,56,81.463615
0.82116,49,81.509262
0.73848,73,81.83543
0.76292,66,81.874914
0.75976,67,82.012718
0.72136,78,82.099274
0.76604,65,82.155849
0.72948,76,82.179034
0.72304,78,82.343774
0.7152,80,82.406409
0.80692,53,82.462015
0.7766,62,82.533197
0.77672,62,82.79834
0.73848,73,82.833455
0.74528,71,82.981967
0.71064,81,83.068369
0.7768,62,83.171716
0.73844,73,83.235488
0.70832,82,83.271238
0.74588,71,83.34164
0.79332,57,83.484566
0.76132,66,83.55135
0.783,60,84.511632
0.783,60,84.511716
0.783,60,84.511737
0.77928,61,84.526194
0.77928,61,84.526292
0.77928,61,84.526315
0.77928,61,84.526328
0.77312,63,84.549687
0.84876,41,106.202795
0.84212,43,106.233587
0.83156,46,106.269415
0.76292,66,106.503189
0.74912,70,106.540205
0.73524,74,106.587039
0.74156,72,106.602187
0.73504,74,106.602262
0.78048,61,106.910669
0.77304,63,107.007832
0.73876,73,107.085039
0.77236,63,107.232017
0.7518,69,107.333777
0.76288,66,107.355705
0.7556,68,107.367128
0.83476,45,107.424173
0.73244,75,107.465167
0.76932,64,107.726511
0.77704,62,107.784205
0.82476,48,107.992496
0.8106,52,108.005783
0.75204,69,108.005858
0.77604,62,108.030868
0.78292,60,108.040644
0.77692,62,108.053208
0.80384,54,108.330706
0.77292,63,108.477994
0.828,47,108.552113
0.80052,55,108.609142
0.79016,58,108.691768
0.78328,60,108.726895
0.74144,72,108.819491
0.7218,78,108.888402
0.87304,34,130.480858
0.75572,68,130.583746
0.75956,67,130.733668
0.732,75,130.898026
0.766,65,130.918922
0.76228,66,130.970139
0.78696,59,130.980805
0.75924,67,131.137747
0.73172,75,131.339177
0.75948,67,131.351971
0.85936,38,131.409406
0.80408,54,131.515019
0.82084,49,131.52512
0.78284,60,131.603629
0.72492,77,131.615247
0.7664,65,131.876206
0.76264,66,132.10042
0.74892,70,132.134959
0.74552,71,132.212603
0.80012,55,132.225724
0.76988,64,132.23704
0.75228,69,132.301317
0.73852,73,132.43808
0.81436,51,132.449045
0.79012,58,132.741936
0.81464,51,132.781022
0.78644,59,132.889135
