#{"t_start": 1701184172.2199318, "env_id": "None"}
r,l,t
0.73044,72,1.449846
0.73044,72,1.449913
0.73044,72,1.449923
0.73044,72,1.44993
0.73044,72,1.449937
0.73044,72,1.449943
0.73044,72,1.449949
0.73044,72,1.449954
0.73044,72,1.762931
0.73044,72,1.762996
0.73044,72,1.763008
0.73044,72,1.763016
0.73044,72,1.763022
0.73044,72,1.763028
0.73044,72,1.763033
0.73044,72,1.763048
0.73044,72,2.083347
0.73044,72,2.083406
0.73044,72,2.08342
0.73044,72,2.083427
0.73044,72,2.083434
0.73044,72,2.08344
0.73044,72,2.083445
0.73044,72,2.083451
0.73044,72,2.399298
0.73044,72,2.399353
0.73044,72,2.399361
0.73044,72,2.399368
0.73044,72,2.399374
0.73044,72,2.39938
0.73044,72,2.399386
0.73044,72,2.399391
0.75168,66,3.333118
0.7448,68,3.348804
0.73736,70,3.368875
0.72984,72,3.385814
0.72416,74,3.403
0.723,74,3.403052
0.7022,80,3.4528
0.69172,83,3.480561
0.72304,74,3.950318
0.71168,77,3.992356
0.71672,76,4.017465
0.70868,78,4.017522
0.75184,66,4.025336
0.69816,81,4.074051
0.6958,82,4.082453
0.7022,80,4.117282
0.6914,83,4.631795
0.71164,77,4.650711
0.70128,80,4.650769
0.7062,79,4.675423
0.6948,82,4.69136
0.7126,77,4.716191
0.69548,82,4.74988
0.71256,77,4.74994
0.73348,71,7.274834
0.71328,77,7.327507
0.71532,76,7.337345
0.7238,74,7.347128
0.72724,73,7.356604
0.7194,75,7.437726
0.7192,75,7.437789
0.70156,80,7.449326
0.73772,70,7.859476
0.734,71,7.880603
0.71356,77,7.880668
0.688,84,7.96602
0.7266,73,7.973699
0.6884,84,7.980333
0.71376,77,7.993858
0.68756,84,8.043724
0.71628,76,8.388977
0.70228,80,8.439002
0.69156,83,8.459648
0.72008,75,8.48485
0.71264,77,8.526138
0.70192,80,8.532297
0.69196,83,8.549694
0.72352,74,8.557179
0.72308,74,9.320354
0.72308,74,9.320424
0.72308,74,9.320441
0.72308,74,9.32045
0.72308,74,9.320457
0.72308,74,9.320466
0.72308,74,9.320472
0.72308,74,9.320478
0.7484,67,11.934806
0.73732,70,11.952353
0.73668,70,11.952406
0.7304,72,11.967476
0.72316,74,11.98273
0.71192,77,12.00459
0.70144,80,12.026704
0.70216,80,12.026772
0.76624,62,12.345251
0.7448,68,12.403599
0.7262,73,12.454839
0.71932,75,12.454907
0.72308,74,12.474324
0.73408,71,12.493703
0.71644,76,12.527724
0.70196,80,12.534491
0.76668,62,12.806319
0.71664,76,12.836179
0.7264,73,12.942296
0.7088,78,12.958332
0.69816,81,12.979714
0.73744,70,12.988267
0.72628,73,13.000338
0.70148,80,13.016526
0.70552,79,15.34696
0.70252,80,15.387573
0.72308,74,15.471196
0.7344,71,15.471256
0.70532,79,15.495289
0.72648,73,15.525605
0.70536,79,15.53831
0.6992,81,15.567337
0.71576,76,15.88611
0.73036,72,15.90147
