#{"t_start": 1701783028.5443258, "env_id": "None"}
r,l,t
0.76228,66,1.30531
0.76228,66,1.305405
0.76228,66,1.305417
0.76228,66,1.305425
0.76228,66,1.305433
0.76228,66,1.30544
0.76228,66,1.305447
0.76228,66,1.305453
0.80024,55,1.529263
0.80024,55,1.529319
0.80024,55,1.529329
0.80024,55,1.529337
0.80024,55,1.529345
0.80024,55,1.529352
0.80024,55,1.529359
0.80024,55,1.529367
0.70088,84,1.894059
0.70088,84,1.894117
0.70088,84,1.894128
0.70088,84,1.894136
0.70088,84,1.894144
0.70088,84,1.894151
0.70088,84,1.894158
0.70088,84,1.894164
0.73268,75,2.2059
0.73268,75,2.205966
0.73268,75,2.205977
0.73268,75,2.205988
0.73268,75,2.205996
0.73268,75,2.206003
0.73268,75,2.20601
0.73268,75,2.206017
0.8484,41,2.857286
0.84484,42,2.86614
0.81752,50,2.931503
0.80696,53,2.9552
0.79352,57,2.988224
0.79368,57,2.988279
0.75544,68,3.076824
0.74164,72,3.106912
0.71892,79,3.497474
0.79284,57,3.529161
0.69424,86,3.547567
0.74828,70,3.547627
0.73468,74,3.547639
0.71504,80,3.578751
0.70828,82,3.675175
0.71372,80,3.787106
0.828,47,3.965368
0.80764,53,3.998735
0.80752,53,4.014184
0.78652,59,4.014243
0.7964,56,4.062229
0.77292,63,4.094378
0.78316,60,4.167561
0.74552,71,4.358422
0.83168,46,4.382841
0.84904,41,4.391447
0.81048,52,4.415132
0.80392,54,4.448316
0.75576,68,4.515793
0.80056,55,4.541918
0.80752,53,4.6048
0.84872,41,6.956321
0.79348,57,6.994372
0.76308,66,7.079473
0.76252,66,7.106291
0.7906,58,7.140919
0.72844,76,7.16358
0.76228,66,7.218276
0.8458,42,7.25959
0.72792,76,7.345131
0.80756,53,7.518934
0.73548,74,7.526819
0.77992,61,7.547204
0.76308,66,7.55624
0.76636,65,7.621946
0.8184,50,7.698601
0.77332,63,7.716547
0.74904,70,7.723354
0.7592,67,8.016531
0.7418,72,8.083656
0.71124,81,8.11633
0.70432,83,8.169809
0.77296,63,8.179255
0.72548,77,8.219278
0.72828,76,8.32256
0.6972,85,8.401824
0.78328,60,8.604969
0.732,75,8.617533
0.77992,61,9.126169
0.77992,61,9.126233
0.76312,66,9.146684
0.76312,66,9.14674
0.76312,66,9.146751
0.76312,66,9.14676
0.76312,66,9.146768
0.76312,66,9.146776
0.81772,50,11.737007
0.7974,56,11.774994
0.76568,65,11.801015
0.78368,60,11.801083
0.77756,62,11.812896
0.74872,70,11.834294
0.7528,69,11.861224
0.7428,72,11.882464
0.84512,42,12.088689
0.81072,52,12.124129
0.81716,50,12.195505
0.80028,55,12.275662
0.78296,60,12.275729
0.82464,48,12.275742
0.8108,52,12.282284
0.7694,64,12.317264
0.77632,62,12.562111
0.83492,45,12.571472
0.749,70,12.589057
0.78448,60,12.66163
0.8038,54,12.66169
0.77892,61,12.667648
0.7762,62,12.683909
0.73596,74,12.690142
0.84852,41,12.933337
0.77008,64,12.98184
0.7668,65,12.981915
0.77036,64,13.005219
0.77932,61,13.089971
0.75304,69,13.121739
0.74248,72,13.13772
0.75328,69,13.137786
0.81112,52,15.338964
0.7966,56,15.373573
0.74616,71,15.432015
0.76588,65,15.473698
0.8352,45,15.473757
0.82172,49,15.502824
0.74912,70,15.596485
0.75912,67,15.608879
0.77024,64,15.795502
0.72884,76,15.909727
0.77272,63,15.928016
0.73836,73,15.936283
0.74572,71,15.955369
0.73136,75,15.985836
0.76608,65,16.054974
0.75552,68,16.095856
0.79396,57,16.230445
0.80428,54,16.317281
0.78328,60,16.373806
0.77284,63,16.422322
0.76996,64,16.457435
0.71724,79,16.513785
0.74508,71,16.557293
0.73584,74,16.611899
0.74504,71,16.706294
0.76604,65,16.749093
0.75916,67,16.822918
0.77684,62,16.870228
0.78732,59,17.348626
0.78732,59,17.348689
0.78732,59,17.3487
0.78732,59,17.348709
0.78732,59,17.348716
0.78732,59,17.348723
0.75616,68,17.387982
0.75616,68,17.388048
0.80004,55,19.948681
0.76572,65,20.014689
0.76196,66,20.021133
0.75548,68,20.032801
0.74792,70,20.049385
0.72792,76,20.096546
0.75596,68,20.104589
0.75288,69,20.111035
0.7766,62,20.406765
0.80052,55,20.433421
0.80696,53,20.496787
0.75604,68,20.527629
0.759,67,20.533973
0.71888,79,20.576883
0.72828,76,20.631581
0.72772,76,20.640301
0.77032,64,20.857343
0.81392,51,20.869479
0.73544,74,20.892861
0.79012,58,20.919521
0.75932,67,20.938945
0.76284,66,21.01157
0.76564,65,21.064352
0.76268,66,21.076663
0.8312,46,21.172373
0.8284,47,21.232854
0.78032,61,21.258084
0.85964,38,21.272118
0.79056,58,21.280899
0.87952,32,21.280952
0.77904,61,21.34873
0.7834,60,21.475676
0.821,49,21.493258
0.80988,52,23.584852
0.77948,61,23.604902
0.81532,51,23.654689
0.76496,65,23.661422
0.76868,64,23.674818
0.8588,38,23.700999
0.74932,70,23.712651
0.86632,36,23.826586
0.84884,41,23.936138
0.8076,53,23.961239
0.7358,74,23.961293
0.81452,51,24.020047
0.79296,57,24.037522
0.78008,61,24.126489
0.74532,71,24.176706
0.80732,53,24.183358
0.79028,58,24.34907
0.8152,51,24.37512
0.76956,64,24.387311
0.87996,32,24.387357
0.73912,73,24.418307
0.73216,75,24.504491
0.7554,68,24.564102
0.7828,60,24.570548
0.86248,37,24.655374
0.83468,45,24.675492
0.79996,55,24.701781
0.77248,63,24.783877
0.84864,41,24.839302
0.74868,70,24.845642
0.82524,48,24.893847
0.78288,60,24.907176
0.7892,58,25.390619
0.7892,58,25.390676
0.7892,58,25.390685
0.7892,58,25.390692
0.7892,58,25.390698
0.77548,62,25.404029
