#{"t_start": 1698239260.1363552, "env_id": "None"}
r,l,t
0.95026,34,4.606117
0.94881,35,5.613002
0.94835,37,6.622848
0.94682,38,7.62907
0.94592,40,8.63955
0.94358,42,9.649451
0.94414,42,9.649507
0.94043,45,10.664054
0.94665,39,11.775206
0.94763,37,11.775262
0.94378,42,12.785774
0.94524,40,13.797483
0.94794,38,13.797569
0.94497,39,14.813817
0.94403,41,15.824931
0.94536,40,16.836728
0.94835,37,17.93705
0.95095,33,18.951648
0.9458,40,18.951732
0.94791,37,19.959108
0.94504,40,20.965586
0.94551,41,21.98037
0.94427,41,23.011032
0.94172,44,24.018512
0.95131,33,25.09447
0.94936,36,26.124811
0.94521,39,27.135258
0.94762,38,28.153953
0.94965,35,30.462128
0.94811,37,31.477852
0.94534,38,32.486711
0.94674,38,32.486769
0.94717,39,33.495359
0.94394,42,34.517504
0.94245,43,35.526046
0.94071,45,36.541221
0.94487,41,37.749019
0.94773,35,38.757888
0.9448,40,39.766916
0.94829,39,39.766972
0.94258,42,40.775726
0.94394,42,41.784623
0.94758,38,42.793506
0.94492,40,43.823638
0.945,40,45.038253
0.94786,38,45.03831
0.949,36,45.038322
0.94492,40,46.053907
0.94149,43,47.068982
0.9439,42,48.077954
0.94322,42,49.093673
0.94116,44,56.815145
0.95093,35,57.96871
0.94709,39,58.997802
0.94883,37,60.02021
0.94349,43,61.02955
0.94318,42,62.038622
0.94047,45,63.082742
0.95,36,63.08281
0.94237,43,64.092393
0.9501,34,65.22278
0.94804,36,66.284751
0.94426,42,67.30668
0.945,40,68.329721
0.94955,37,70.505534
0.94789,39,71.515787
0.94452,40,72.522055
0.9468,40,72.522119
0.94572,40,72.522129
0.94532,40,72.522138
0.94379,41,73.529373
0.94343,41,73.529426
0.94855,37,74.89063
0.94853,35,75.899411
0.94924,36,76.91708
0.9471,38,76.917135
0.94777,39,77.931988
0.94574,38,77.932045
0.94298,42,78.954105
0.94105,43,79.9628
0.94663,37,87.737314
0.94537,39,88.74702
0.94899,37,89.757052
0.94758,38,90.780538
0.94481,39,91.789908
0.94828,36,92.798877
0.94386,42,92.798932
0.9454,40,93.821627
0.95381,31,94.982154
0.94934,34,95.999795
0.94665,39,97.029422
0.94783,37,98.051869
0.94687,37,99.070449
0.94654,38,99.070503
0.94589,39,100.086208
0.94609,39,101.1082
0.94601,39,102.263882
0.94771,37,102.263936
0.94992,36,103.288385
0.94573,39,104.345696
0.94411,41,104.345759
0.94585,39,104.34577
0.94682,38,105.354994
0.94655,37,106.370683
0.94576,40,107.547306
0.94472,40,115.027958
0.94269,43,115.028013
0.94747,37,116.066107
0.94838,38,117.075226
0.94835,37,118.090481
0.94487,41,119.1062
0.94164,44,120.121949
0.94853,35,122.289753
0.94856,36,123.295804
0.94847,37,124.301709
0.94568,40,125.314545
0.94572,40,125.314612
0.94576,40,125.314623
0.94286,42,126.324142
0.9441,42,126.324189
0.94788,36,127.623449
