#{"t_start": 1699894877.2014542, "env_id": "None"}
r,l,t
0.75836,69,0.595855
0.75836,69,0.595935
0.75836,69,0.595947
0.75836,69,0.595954
0.75836,69,0.59596
0.75836,69,0.595968
0.75836,69,0.595973
0.75836,69,0.595978
0.75836,69,0.718694
0.75836,69,0.718767
0.75836,69,0.718777
0.75836,69,0.718786
0.75836,69,0.718792
0.75836,69,0.718798
0.75836,69,0.718805
0.75836,69,0.71881
0.75836,69,0.841481
0.75836,69,0.841537
0.75836,69,0.841549
0.75836,69,0.841556
0.75836,69,0.841561
0.75836,69,0.841567
0.75836,69,0.841572
0.75836,69,0.841577
0.75836,69,0.963175
0.75836,69,0.963228
0.75836,69,0.963238
0.75836,69,0.963245
0.75836,69,0.963251
0.75836,69,0.963256
0.75836,69,0.963264
0.75836,69,0.963269
0.78432,61,1.460474
0.7778,63,1.466428
0.7746,64,1.469425
0.7576,69,1.484164
0.75104,71,1.490895
0.74388,73,1.496712
0.74416,73,1.496765
0.73132,77,1.514539
0.768,66,1.660196
0.78788,60,1.676818
0.75404,70,1.680198
0.77456,64,1.689544
0.7644,67,1.692775
0.74748,72,1.701691
0.72388,79,1.705268
0.7674,66,1.708707
0.77132,65,1.849664
0.75836,69,2.291287
0.75836,69,2.291349
0.75836,69,2.291361
0.75836,69,2.291368
0.75836,69,2.291375
0.75836,69,2.291384
0.75836,69,2.291389
0.75836,69,2.291394
0.79808,57,3.311271
0.79488,58,3.314071
0.7784,63,3.327271
0.77476,64,3.330304
0.77128,65,3.333612
0.77108,65,3.333658
0.75716,69,3.344906
0.73168,77,3.366943
0.77756,63,3.491582
0.78736,60,3.502697
0.76056,68,3.510538
0.75524,70,3.532403
0.76096,68,3.545075
0.73772,75,3.553908
0.7176,81,3.572074
0.73708,75,3.58888
0.75764,69,3.692827
0.77448,64,3.715634
0.78736,60,4.071851
0.78736,60,4.07191
0.78736,60,4.071922
0.78736,60,4.071928
0.78736,60,4.071934
0.78736,60,4.07194
0.78736,60,4.071945
0.78736,60,4.07195
0.80788,54,4.261397
0.7982,57,4.269636
0.77168,65,4.292072
0.76764,66,4.295109
0.76728,66,4.295163
0.7642,67,4.298216
0.74112,74,4.316298
0.734,76,4.321862
0.76776,66,5.247219
0.78744,60,5.265919
0.77844,63,5.272027
0.76836,66,5.280383
0.72812,78,5.288445
0.74428,73,5.297853
0.76724,66,5.309861
0.73112,77,5.333869
0.75416,70,5.443133
0.77084,65,5.449069
0.7844,61,5.452162
0.77412,64,5.845959
0.77412,64,5.846018
0.77412,64,5.846027
0.77412,64,5.846037
0.77412,64,5.846043
0.77412,64,5.846049
0.77412,64,5.846054
0.77412,64,5.846059
0.77388,64,6.038267
0.75392,70,6.056527
0.75432,70,6.056583
0.75108,71,6.059916
0.74748,72,6.063167
0.7442,73,6.066013
0.73768,75,6.072398
0.73108,77,6.078774
0.78448,61,6.230364
0.75024,71,6.235495
0.76768,66,6.23882
0.76752,66,6.247173
0.75784,69,6.247225
0.76752,66,6.253368
0.7412,74,6.265075
0.74416,73,6.279542
0.80128,56,7.164362
0.79148,59,7.188164
0.77748,63,7.191269
0.80108,56,7.55483
0.80108,56,7.55683
0.80108,56,7.556905
0.80108,56,7.556925
0.80108,56,7.556938
0.80108,56,7.556946
0.80108,56,7.556953
0.80108,56,7.55696
0.79496,58,7.755515
0.7842,61,7.764866
0.7814,62,7.768153
0.78148,62,7.768204
0.78116,62,7.768214
0.78156,62,7.768224
0.77772,63,7.771511
0.75424,70,7.793057
0.79092,59,7.936776
0.76076,68,7.960374
0.74356,73,7.963696
0.75116,71,7.969608
0.7478,72,7.97281
0.77048,65,7.97624
0.741,74,7.976293
0.73732,75,7.982062
0.78784,60,8.106715
0.77756,63,8.147532
0.77484,64,8.157176
0.80108,56,8.514694
0.80108,56,8.514748
0.80108,56,8.514759
0.80108,56,8.514767
0.80108,56,8.514773
0.80108,56,8.514781
0.80108,56,8.514787
0.80108,56,8.514793
0.82452,49,9.455056
0.7882,60,9.486356
0.78172,62,9.492285
0.78072,62,9.492334
0.761,68,9.510474
0.751,71,9.519079
0.74088,74,9.530299
0.73692,75,9.53354
0.77708,63,9.640255
0.81432,52,9.662708
0.77508,64,9.674926
0.7572,69,9.694936
0.74136,74,9.71052
0.75768,69,9.72039
0.75768,69,9.730269
0.72744,78,9.760471
0.73464,76,9.858013
0.76756,66,9.863648
0.75404,70,9.863694
0.78404,61,9.869749
0.77436,64,9.89207
0.80444,55,10.241163
0.80444,55,10.241219
0.80444,55,10.241232
0.80444,55,10.24124
0.80444,55,10.24125
0.80444,55,10.241256
0.80444,55,10.241262
0.80444,55,10.241268
0.78188,62,10.446534
0.7714,65,10.455425
0.76104,68,10.463856
0.75772,69,10.467311
0.7574,69,10.467339
0.74748,72,10.475933
0.7478,72,10.475989
0.7406,74,10.483077
0.77056,65,11.34717
0.77396,64,11.352225
0.76784,66,11.366246
0.78116,62,11.372628
0.76436,67,11.372684
0.76096,68,11.375561
0.76116,68,11.384175
0.7512,71,11.393043
0.7808,62,11.525247
