#{"t_start": 1698253064.5332632, "env_id": "None"}
r,l,t
-33.0,34,4.383039
-39.0,40,5.40933
-39.0,40,5.40938
-39.0,40,5.409391
-41.0,42,6.419263
-41.0,42,6.419314
-42.0,43,7.425539
-42.0,43,7.425615
-32.0,33,8.543534
-34.0,35,9.553782
-32.0,33,10.560744
-42.0,43,11.568128
-34.0,35,11.568176
-37.0,38,12.57495
-40.0,41,13.597123
-42.0,43,14.611721
-35.0,36,15.699298
-39.0,40,16.724682
-40.0,41,17.735059
-39.0,40,18.741341
-40.0,41,18.741391
-42.0,43,19.751877
-33.0,34,19.751928
-39.0,40,20.76652
-39.0,40,21.861422
-36.0,37,22.886433
-38.0,39,23.896916
-37.0,38,24.903102
-36.0,37,25.913611
-44.0,45,25.913675
-42.0,43,25.913687
-39.0,40,25.913695
-37.0,38,28.273336
-38.0,39,29.283032
-39.0,40,30.292601
-40.0,41,31.301525
-40.0,41,31.301581
-40.0,41,31.301592
-41.0,42,32.311041
-42.0,43,33.321178
-41.0,42,34.574893
-39.0,40,35.584219
-41.0,42,35.584269
-39.0,40,36.59466
-40.0,41,36.594718
-41.0,42,36.59473
-40.0,41,37.610692
-42.0,43,37.610756
-35.0,36,38.84381
-37.0,38,38.843872
-36.0,37,38.843883
-37.0,38,39.852877
-37.0,38,40.862314
-39.0,40,41.878777
-40.0,41,42.900678
-41.0,42,43.909719
-35.0,36,46.30172
-36.0,37,47.311577
-29.0,30,47.311638
-36.0,37,47.311649
-36.0,37,48.320542
-36.0,37,49.331012
-40.0,41,50.376877
-39.0,40,51.403632
-32.0,33,52.569738
-35.0,36,53.599205
-38.0,39,54.609055
-38.0,39,54.609107
-40.0,41,55.617249
-39.0,40,55.617301
-34.0,35,57.90786
-35.0,36,58.913568
-39.0,40,59.932825
-40.0,41,60.939866
-40.0,41,60.939929
-41.0,42,61.945797
-41.0,42,61.945853
-45.0,46,62.966349
-38.0,39,64.331859
-34.0,35,64.331962
-40.0,41,65.340638
-38.0,39,66.381043
-40.0,41,67.390136
-39.0,40,67.390189
-41.0,42,68.399587
-40.0,41,69.42981
-35.0,36,71.820658
-37.0,38,72.831057
-40.0,41,73.866195
-38.0,39,74.897991
-36.0,37,74.898054
-40.0,41,75.921928
-37.0,38,76.938217
-43.0,44,77.94784
-33.0,34,79.087024
-32.0,33,80.110421
-40.0,41,81.147177
-34.0,35,82.178094
-39.0,40,83.194435
-41.0,42,84.209899
-38.0,39,85.225792
-42.0,43,86.263006
-36.0,37,87.382835
-43.0,44,88.413926
-38.0,39,89.4385
-39.0,40,90.475892
-38.0,39,91.485154
-40.0,41,92.529219
-43.0,44,93.538677
-38.0,39,94.555475
-37.0,38,95.667886
-38.0,39,96.702808
-40.0,41,98.856533
-35.0,36,99.867292
-42.0,43,100.914091
-36.0,37,101.931502
-39.0,40,102.949353
-35.0,36,105.18535
-38.0,39,106.201399
-38.0,39,106.201471
-38.0,39,106.201482
-39.0,40,107.207429
-40.0,41,108.2145
-42.0,43,109.22498
-43.0,44,110.231139
-37.0,38,111.564157
-35.0,36,112.586579
-39.0,40,113.603599
-39.0,40,113.603664
-36.0,37,114.621143
-41.0,42,115.629807
-42.0,43,115.629859
-43.0,44,116.670534
-36.0,37,117.877226
-33.0,34,118.897067
-42.0,43,119.905866
-39.0,40,120.923124
-37.0,38,120.923178
-40.0,41,121.933898
-40.0,41,122.957672
-41.0,42,124.006384
-34.0,35,125.19476
-40.0,41,126.204906
-38.0,39,126.204952
-35.0,36,127.213803
-39.0,40,129.331352
-36.0,37,130.357111
-41.0,42,131.367631
-40.0,41,132.438812
-36.0,37,133.606123
-36.0,37,134.616888
-40.0,41,135.63425
-41.0,42,136.650033
-39.0,40,136.650095
-38.0,39,137.668828
-38.0,39,138.678142
-37.0,38,139.739736
-34.0,35,140.915941
-40.0,41,141.92563
-37.0,38,141.925683
-40.0,41,142.935201
-37.0,38,143.960285
-40.0,41,144.970456
-40.0,41,145.995136
-36.0,37,148.255669
-39.0,40,149.359923
-39.0,40,149.35998
-40.0,41,150.366261
-41.0,42,151.372776
-41.0,42,151.372823
-41.0,42,151.372835
-43.0,44,152.383548
-36.0,37,153.595332
-34.0,35,154.618946
-37.0,38,155.628003
-36.0,37,156.637545
-36.0,37,156.637612
-37.0,38,156.637624
-39.0,40,157.646787
-42.0,43,159.793582
-33.0,34,160.989708
-36.0,37,162.007553
-37.0,38,163.023309
-43.0,44,164.032738
-40.0,41,165.050282
-42.0,43,165.050336
-41.0,42,166.069909
-38.0,39,167.102615
-38.0,39,168.314793
-41.0,42,169.323486
-37.0,38,169.323547
-40.0,41,170.354903
-38.0,39,170.35498
-40.0,41,171.372188
-34.0,35,171.372238
-42.0,43,172.406833
-35.0,36,173.6015
-37.0,38,174.619199
-40.0,41,175.636079
-37.0,38,176.652719
-39.0,40,177.670918
-39.0,40,178.688314
-40.0,41,179.698438
-41.0,42,180.73902
-30.0,31,182.943897
-37.0,38,183.983402
-36.0,37,185.023624
-35.0,36,186.047599
-42.0,43,187.05643
-42.0,43,188.088626
-41.0,42,189.106192
-36.0,37,191.341707
-37.0,38,192.348407
-38.0,39,193.356061
-39.0,40,194.36261
